,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94439190881.40462,233997519911.16455,226860.94699992993,0.0,0.0,0.0,336945377.72958916
1,Refinaria Landulpho Alves,0.0,0.0,94439190881.40462,233997519911.16455,1.012689320301204e-07,0.0,0.0,0.0,336945377.72958916
2,Refinaria Duque de Caxias,0.0,0.0,94439190881.40462,233997519911.16455,8.882489055395128e-08,0.0,0.0,0.0,336945377.72958916
3,Refinaria Alberto Pasqualini ,0.0,0.0,94439190881.40462,233997519911.16455,8.982897270470859e-08,0.0,0.0,0.0,336945377.72958916
4,Refinaria Gabriel Passos,0.0,0.0,94439190881.40462,233997519911.16455,-8.882761198778952e-08,0.0,0.0,0.0,336945377.72958916
5,Refinaria Isaac Sabbá,0.0,0.0,94439190881.40462,233997519911.16455,9.006180334836246e-08,0.0,0.0,0.0,336945377.72958916
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94439190881.40462,233997519911.16455,8.937786333262922e-08,0.0,0.0,0.0,336945377.72958916
7,Refinaria de Paulínia ,0.0,0.0,94439190881.40462,233997519911.16455,1909421.2964996116,0.0,0.0,0.0,336945377.72958916
8,Refinaria Henrique Lage,0.0,0.0,94439190881.40462,233997519911.16455,8.870847523212434e-08,0.0,0.0,0.0,336945377.72958916
