,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83285435782.57368,220659016581.25928,168529.9352,0.0,0.0,0.0,238293787.3156191
1,Refinaria Landulpho Alves,0.0,0.0,83285435782.57368,220659016581.25928,66539.5148,0.0,0.0,0.0,238293787.3156191
2,Refinaria Duque de Caxias,0.0,0.0,83285435782.57368,220659016581.25928,330279.62360000005,0.0,0.0,0.0,238293787.3156191
3,Refinaria Alberto Pasqualini ,0.0,0.0,83285435782.57368,220659016581.25928,30593.91703478506,0.0,0.0,0.0,238293787.3156191
4,Refinaria Gabriel Passos,0.0,0.0,83285435782.57368,220659016581.25928,25905.305200000003,0.0,0.0,0.0,238293787.3156191
5,Refinaria Isaac Sabbá,0.0,0.0,83285435782.57368,220659016581.25928,0.0,0.0,0.0,0.0,238293787.3156191
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83285435782.57368,220659016581.25928,47983.41296521494,0.0,0.0,0.0,238293787.3156191
7,Refinaria de Paulínia ,0.0,0.0,83285435782.57368,220659016581.25928,1039194.0860000001,0.0,0.0,0.0,238293787.3156191
8,Refinaria Henrique Lage,0.0,0.0,83285435782.57368,220659016581.25928,0.0,0.0,0.0,0.0,238293787.3156191
