,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83310026458.42963,219179668394.83484,45372.1894,0.0,0.0,0.0,60241305.50188611
1,Refinaria Landulpho Alves,0.0,0.0,83310026458.42963,219179668394.83484,10644.288658401807,0.0,0.0,0.0,60241305.50188611
2,Refinaria Duque de Caxias,0.0,0.0,83310026458.42963,219179668394.83484,0.0,0.0,0.0,0.0,60241305.50188611
3,Refinaria Alberto Pasqualini ,0.0,0.0,83310026458.42963,219179668394.83484,0.0,0.0,0.0,0.0,60241305.50188611
4,Refinaria Gabriel Passos,0.0,0.0,83310026458.42963,219179668394.83484,6712.125141598193,0.0,0.0,0.0,60241305.50188611
5,Refinaria Isaac Sabbá,0.0,0.0,83310026458.42963,219179668394.83484,0.0,0.0,0.0,0.0,60241305.50188611
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83310026458.42963,219179668394.83484,19644.33249999946,0.0,0.0,0.0,60241305.50188611
7,Refinaria de Paulínia ,0.0,0.0,83310026458.42963,219179668394.83484,344883.51300000004,0.0,0.0,0.0,60241305.50188611
8,Refinaria Henrique Lage,0.0,0.0,83310026458.42963,219179668394.83484,0.0,0.0,0.0,0.0,60241305.50188611
