,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83277238890.62166,221151618331.58704,206705.75199999998,0.0,0.0,0.0,309427214.5053699
1,Refinaria Landulpho Alves,0.0,0.0,83277238890.62166,221151618331.58704,87131.0605,0.0,0.0,0.0,309427214.5053699
2,Refinaria Duque de Caxias,0.0,0.0,83277238890.62166,221151618331.58704,412849.5295,0.0,0.0,0.0,309427214.5053699
3,Refinaria Alberto Pasqualini ,0.0,0.0,83277238890.62166,221151618331.58704,0.0,0.0,0.0,0.0,309427214.5053699
4,Refinaria Gabriel Passos,0.0,0.0,83277238890.62166,221151618331.58704,32381.6315,0.0,0.0,0.0,309427214.5053699
5,Refinaria Isaac Sabbá,0.0,0.0,83277238890.62166,221151618331.58704,0.0,0.0,0.0,0.0,309427214.5053699
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83277238890.62166,221151618331.58704,98221.66250001028,0.0,0.0,0.0,309427214.5053699
7,Refinaria de Paulínia ,0.0,0.0,83277238890.62166,221151618331.58704,1298992.6075000002,0.0,0.0,0.0,309427214.5053699
8,Refinaria Henrique Lage,0.0,0.0,83277238890.62166,221151618331.58704,0.0,0.0,0.0,0.0,309427214.5053699
