,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives
139,Grizzo,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,0.0,0.0,0.0,90282.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
140,Guaíra,671878346.8742664,0.0,0.0,128916688806.41238,94471978878.75793,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,775136529.4434745,4000000,0
141,Guarani - Unidade Cruz Alta,923832726.9521163,0.0,0.0,128916688806.41238,94471978878.75793,198620.4,198620.4,0.0,0.0,0.0,0.0,0.0,3981589.5454919036,55410.454508096445,489735.5140955041,292600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,1065812727.984777,5500000,0
142,Guarani - Unidade Mandu Guaíra,671878346.8742664,0.0,0.0,128916688806.41238,94471978878.75793,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,775136529.4434745,4000000,0
143,Guarani - Unidade Severinia,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
144,Guarani - Unidade Tanabi,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
145,Guariroba,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
146,Iacanga,671878346.8742664,0.0,0.0,128916688806.41238,94471978878.75793,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,775136529.4434745,4000000,0
147,IACO,488098308.0,0.0,0.0,128916688806.41238,94471978878.75793,270846.0,270846.0,0.0,0.0,0.0,0.0,0.0,0.0,2202000.0,0.0,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,182469084.48000002,3000000,0
148,Ibaiti,325398872.0,0.0,0.0,128916688806.41238,94471978878.75793,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,121646056.32,2000000,0
149,Ibéria,325398872.0,0.0,0.0,128916688806.41238,94471978878.75793,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,121646056.32,2000000,0
