,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94471978878.75793,128915734256.11664,0.0,0.0,0.0,0.0,77248650.8864966
1,Refinaria Landulpho Alves,0.0,0.0,94471978878.75793,128915734256.11664,0.0,0.0,0.0,0.0,77248650.8864966
2,Refinaria Duque de Caxias,0.0,0.0,94471978878.75793,128915734256.11664,0.0,0.0,0.0,0.0,77248650.8864966
3,Refinaria Alberto Pasqualini ,0.0,0.0,94471978878.75793,128915734256.11664,0.0,0.0,0.0,0.0,77248650.8864966
4,Refinaria Gabriel Passos,0.0,0.0,94471978878.75793,128915734256.11664,0.0,0.0,0.0,0.0,77248650.8864966
5,Refinaria Isaac Sabbá,0.0,0.0,94471978878.75793,128915734256.11664,0.0,0.0,0.0,0.0,77248650.8864966
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94471978878.75793,128915734256.11664,0.0,0.0,0.0,0.0,77248650.8864966
7,Refinaria de Paulínia ,0.0,0.0,94471978878.75793,128915734256.11664,427256.4487,0.0,0.0,0.0,77248650.8864966
8,Refinaria Henrique Lage,0.0,0.0,94471978878.75793,128915734256.11664,0.0,0.0,0.0,0.0,77248650.8864966
