,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94455585594.58951,126740495599.16211,0.0,0.0,0.0,0.0,239906379.7981676
1,Refinaria Landulpho Alves,0.0,0.0,94455585594.58951,126740495599.16211,0.0,0.0,0.0,0.0,239906379.7981676
2,Refinaria Duque de Caxias,0.0,0.0,94455585594.58951,126740495599.16211,0.0,0.0,0.0,0.0,239906379.7981676
3,Refinaria Alberto Pasqualini ,0.0,0.0,94455585594.58951,126740495599.16211,0.0,0.0,0.0,0.0,239906379.7981676
4,Refinaria Gabriel Passos,0.0,0.0,94455585594.58951,126740495599.16211,0.0,0.0,0.0,0.0,239906379.7981676
5,Refinaria Isaac Sabbá,0.0,0.0,94455585594.58951,126740495599.16211,0.0,0.0,0.0,0.0,239906379.7981676
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94455585594.58951,126740495599.16211,0.0,0.0,0.0,0.0,239906379.7981676
7,Refinaria de Paulínia ,0.0,0.0,94455585594.58951,126740495599.16211,1281769.3461000004,0.0,0.0,0.0,239906379.7981676
8,Refinaria Henrique Lage,0.0,0.0,94455585594.58951,126740495599.16211,0.0,0.0,0.0,0.0,239906379.7981676
