,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83301829566.47743,219672720381.7516,84264.9676,0.0,0.0,0.0,113815037.71351343
1,Refinaria Landulpho Alves,0.0,0.0,83301829566.47743,219672720381.7516,33269.7574,0.0,0.0,0.0,113815037.71351343
2,Refinaria Duque de Caxias,0.0,0.0,83301829566.47743,219672720381.7516,165139.81179999965,0.0,0.0,0.0,113815037.71351343
3,Refinaria Alberto Pasqualini ,0.0,0.0,83301829566.47743,219672720381.7516,0.0,0.0,0.0,0.0,113815037.71351343
4,Refinaria Gabriel Passos,0.0,0.0,83301829566.47743,219672720381.7516,12952.652600000001,0.0,0.0,0.0,113815037.71351343
5,Refinaria Isaac Sabbá,0.0,0.0,83301829566.47743,219672720381.7516,0.0,0.0,0.0,0.0,113815037.71351343
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83301829566.47743,219672720381.7516,35254.03959998837,0.0,0.0,0.0,113815037.71351343
7,Refinaria de Paulínia ,0.0,0.0,83301829566.47743,219672720381.7516,523631.6683999986,0.0,0.0,0.0,113815037.71351343
8,Refinaria Henrique Lage,0.0,0.0,83301829566.47743,219672720381.7516,3.7834979593753815e-10,0.0,0.0,0.0,113815037.71351343
