,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94439192310.42108,124558354195.81937,0.0,0.0,0.0,0.0,389140214.56636393
1,Refinaria Landulpho Alves,0.0,0.0,94439192310.42108,124558354195.81937,0.0,0.0,0.0,0.0,389140214.56636393
2,Refinaria Duque de Caxias,0.0,0.0,94439192310.42108,124558354195.81937,0.0,0.0,0.0,0.0,389140214.56636393
3,Refinaria Alberto Pasqualini ,0.0,0.0,94439192310.42108,124558354195.81937,0.0,0.0,0.0,0.0,389140214.56636393
4,Refinaria Gabriel Passos,0.0,0.0,94439192310.42108,124558354195.81937,0.0,0.0,0.0,0.0,389140214.56636393
5,Refinaria Isaac Sabbá,0.0,0.0,94439192310.42108,124558354195.81937,0.0,0.0,0.0,0.0,389140214.56636393
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94439192310.42108,124558354195.81937,0.0,0.0,0.0,0.0,389140214.56636393
7,Refinaria de Paulínia ,0.0,0.0,94439192310.42108,124558354195.81937,2136282.2435,0.0,0.0,0.0,389140214.56636393
8,Refinaria Henrique Lage,0.0,0.0,94439192310.42108,124558354195.81937,0.0,0.0,0.0,0.0,389140214.56636393
