,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,41827650.6,14511388.979775438,94463783536.67372,129949734868.01875,37015.62,37015.62,6319.740000000001,10111.584,136553166.60307372
1,Refinaria Landulpho Alves,0.0,0.0,94463783536.67372,129949734868.01875,0.0,0.0,0.0,0.0,136553166.60307372
2,Refinaria Duque de Caxias,41827650.6,14511388.979775438,94463783536.67372,129949734868.01875,37015.62,37015.62,6319.740000000001,10111.584,136553166.60307372
3,Refinaria Alberto Pasqualini ,0.0,0.0,94463783536.67372,129949734868.01875,0.0,0.0,0.0,0.0,136553166.60307372
4,Refinaria Gabriel Passos,49116622.26199984,17040173.205821346,94463783536.67372,129949734868.01875,43466.037399999856,43466.037399999856,7421.030775609732,11873.64924097557,136553166.60307372
5,Refinaria Isaac Sabbá,0.0,0.0,94463783536.67372,129949734868.01875,0.0,0.0,0.0,0.0,136553166.60307372
6,Refinaria Presidente Getúlio Vargas,41827650.6,14511388.979775438,94463783536.67372,129949734868.01875,37015.62,37015.62,6319.740000000001,10111.584,136553166.60307372
7,Refinaria de Paulínia ,791000000.0,127185358.1326386,94463783536.67372,129949734868.01875,700000.0,700000.0,119512.19512195124,191219.51219512196,136553166.60307372
8,Refinaria Henrique Lage,0.0,0.0,94463783536.67372,129949734868.01875,0.0,0.0,0.0,0.0,136553166.60307372
