,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94447390252.5053,125650028469.28934,0.0,0.0,0.0,0.0,310327404.2597704
1,Refinaria Landulpho Alves,0.0,0.0,94447390252.5053,125650028469.28934,0.0,0.0,0.0,0.0,310327404.2597704
2,Refinaria Duque de Caxias,0.0,0.0,94447390252.5053,125650028469.28934,0.0,0.0,0.0,0.0,310327404.2597704
3,Refinaria Alberto Pasqualini ,0.0,0.0,94447390252.5053,125650028469.28934,0.0,0.0,0.0,0.0,310327404.2597704
4,Refinaria Gabriel Passos,0.0,0.0,94447390252.5053,125650028469.28934,0.0,0.0,0.0,0.0,310327404.2597704
5,Refinaria Isaac Sabbá,0.0,0.0,94447390252.5053,125650028469.28934,0.0,0.0,0.0,0.0,310327404.2597704
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94447390252.5053,125650028469.28934,0.0,0.0,0.0,0.0,310327404.2597704
7,Refinaria de Paulínia ,0.0,0.0,94447390252.5053,125650028469.28934,1709025.7948,0.0,0.0,0.0,310327404.2597704
8,Refinaria Henrique Lage,0.0,0.0,94447390252.5053,125650028469.28934,0.0,0.0,0.0,0.0,310327404.2597704
