,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83293632674.52571,220165785656.67883,129566.9019,0.0,0.0,0.0,178118587.51207638
1,Refinaria Landulpho Alves,0.0,0.0,83293632674.52571,220165785656.67883,46735.1856,0.0,0.0,0.0,178118587.51207638
2,Refinaria Duque de Caxias,0.0,0.0,83293632674.52571,220165785656.67883,247709.7177,0.0,0.0,0.0,178118587.51207638
3,Refinaria Alberto Pasqualini ,0.0,0.0,83293632674.52571,220165785656.67883,0.0,0.0,0.0,0.0,178118587.51207638
4,Refinaria Gabriel Passos,0.0,0.0,83293632674.52571,220165785656.67883,19428.9789,0.0,0.0,0.0,178118587.51207638
5,Refinaria Isaac Sabbá,0.0,0.0,83293632674.52571,220165785656.67883,0.0,0.0,0.0,0.0,178118587.51207638
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83293632674.52571,220165785656.67883,58932.99749999999,0.0,0.0,0.0,178118587.51207638
7,Refinaria de Paulínia ,0.0,0.0,83293632674.52571,220165785656.67883,779395.5645,0.0,0.0,0.0,178118587.51207638
8,Refinaria Henrique Lage,0.0,0.0,83293632674.52571,220165785656.67883,0.0,0.0,0.0,0.0,178118587.51207638
