,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity
0,Abengoa - São João Bv,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
1,Abengoa - São Luiz,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
2,Adecoagro,824556635.6897173,0.0,0.0,110943322642.72797,83285435782.5734,337735.4773650237,337735.4773650237,0.0,0.0,0.0,0.0,0.0,1519163.4928141136,2150836.5071858866,186857.10961613595,266000.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,583135138.3087888,5000000
3,Agrisa,162699436.0,0.0,0.0,110943322642.72797,83285435782.5734,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,60823028.16,1000000
4,Agrocan,162699436.0,0.0,0.0,110943322642.72797,83285435782.5734,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,60823028.16,1000000
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,0.0,110943322642.72797,83285435782.5734,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,60823028.16,1000000
6,Agropeu,335939173.4371332,0.0,0.0,110943322642.72797,83285435782.5734,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,387568264.72173727,2000000
7,Agrosserra,162699436.0,0.0,0.0,110943322642.72797,83285435782.5734,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,60823028.16,1000000
8,Água Bonita,335939173.4371332,0.0,0.0,110943322642.72797,83285435782.5734,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,387568264.72173727,2000000
9,Alcoeste,164836833.45976004,0.0,0.0,110943322642.72797,83285435782.5734,68312.77812000002,68312.77812000002,0.0,0.0,0.0,0.0,0.0,293600.0,440400.0,36112.8,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,114747619.98706558,1000000
10,Alcon,164836833.45976004,0.0,0.0,110943322642.72797,83285435782.5734,68312.77812000002,68312.77812000002,0.0,0.0,0.0,0.0,0.0,293600.0,440400.0,36112.8,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,114747619.98706558,1000000
11,Alcoolquímica,335939173.4371332,0.0,0.0,110943322642.72797,83285435782.5734,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,387568264.72173727,2000000
12,Alcoolvale,335939173.4371332,0.0,0.0,110943322642.72797,83285435782.5734,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,387568264.72173727,2000000
13,Alta Floresta (Alto Alegre),335939173.4371332,0.0,0.0,110943322642.72797,83285435782.5734,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,387568264.72173727,2000000
14,Alta Mogiana,906602584.0286801,0.0,0.0,110943322642.72797,83285435782.5734,375720.27966,375720.27966,0.0,0.0,0.0,0.0,0.0,1614800.0,2422200.0,198620.4,292600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,631111909.9288609,5500000
15,Alta Paulista (Usalpa),335939173.4371332,0.0,0.0,110943322642.72797,83285435782.5734,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,387568264.72173727,2000000
16,Alta Paulista II,325398872.0,0.0,0.0,110943322642.72797,83285435782.5734,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,121646056.32,2000000
17,Alto Alegre - Florestópolis,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
18,Alto Alegre - Unidade Junqueira,671878346.8742664,0.0,0.0,110943322642.72797,83285435782.5734,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,775136529.4434745,4000000
19,Alto Alegre - Unidade Santo Inácio,671878346.8742664,0.0,0.0,110943322642.72797,83285435782.5734,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,775136529.4434745,4000000
20,Alto Taquari,650797744.0,0.0,0.0,110943322642.72797,83285435782.5734,361128.0,361128.0,0.0,0.0,0.0,0.0,0.0,0.0,2936000.0,0.0,212800.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,243292112.64,4000000
21,Alvorada,329673666.9195201,0.0,0.0,110943322642.72797,83285435782.5734,136625.55624000003,136625.55624000003,0.0,0.0,0.0,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,229495239.97413117,2000000
22,Americana,162699436.0,0.0,0.0,110943322642.72797,83285435782.5734,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,60823028.16,1000000
23,Andrade,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
24,Angélica,671878346.8742664,0.0,0.0,110943322642.72797,83285435782.5734,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,775136529.4434745,4000000
25,Anicuns,488098308.0,0.0,0.0,110943322642.72797,83285435782.5734,270846.0,270846.0,0.0,0.0,0.0,0.0,0.0,0.0,2202000.0,0.0,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,182469084.48000002,3000000
26,Aroeira,164836833.45976004,0.0,0.0,110943322642.72797,83285435782.5734,68312.77812000002,68312.77812000002,0.0,0.0,0.0,0.0,0.0,293600.0,440400.0,36112.8,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,114747619.98706558,1000000
27,Atena Tecnologias - Fazendo Bartira,164836833.45976004,0.0,0.0,110943322642.72797,83285435782.5734,68312.77812000002,68312.77812000002,0.0,0.0,0.0,0.0,0.0,293600.0,440400.0,36112.8,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,114747619.98706558,1000000
28,Avaré,329673666.9195201,0.0,0.0,110943322642.72797,83285435782.5734,136625.55624000003,136625.55624000003,0.0,0.0,0.0,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,229495239.97413117,2000000
29,Bahia Etanol,162699436.0,0.0,0.0,110943322642.72797,83285435782.5734,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,60823028.16,1000000
30,Baldin Bioenergia,335939173.4371332,0.0,0.0,110943322642.72797,83285435782.5734,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,387568264.72173727,2000000
31,Bambuí,325398872.0,0.0,0.0,110943322642.72797,83285435782.5734,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,121646056.32,2000000
32,Bandeirantes,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
33,Barra Grande,824184167.2988,0.0,1469492.565835373,110943322642.72797,83285435782.5734,341563.8906,275714.2890141676,0.0,0.0,65849.60158583237,0.0,0.0,1468000.0000000012,2202000.0,180564.0,266000.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,572268607.3694927,5000000
34,Barralcool,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
35,Batatais,671878346.8742664,0.0,0.0,110943322642.72797,83285435782.5734,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,775136529.4434745,4000000
36,Batatais - Unidade Lins,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
37,Bazan,671878346.8742664,0.0,0.0,110943322642.72797,83285435782.5734,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,775136529.4434745,4000000
38,Bela Vista,671878346.8742664,0.0,0.0,110943322642.72797,83285435782.5734,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,775136529.4434745,4000000
39,Bevap,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
40,Bioenergia,325398872.0,0.0,0.0,110943322642.72797,83285435782.5734,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,121646056.32,2000000
41,Bioflex Agroindustrial,162699436.0,0.0,0.0,110943322642.72797,83285435782.5734,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,60823028.16,1000000
42,Biopav(Revati),650797744.0,0.0,0.0,110943322642.72797,83285435782.5734,361128.0,361128.0,0.0,0.0,0.0,0.0,0.0,0.0,2936000.0,0.0,212800.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,243292112.64,4000000
43,BIOSEV - Unidade Ares,461247895.4201037,30289875.32670512,6724026.946996839,110943322642.72797,83285435782.5734,78618.04289442413,0.0,78618.04289442413,274425.5405201922,0.0,0.0,0.0,1362421.171295352,105578.82870464795,167577.8040693283,106400.0,144747.86919999268,144747.86919999268,0.0,24713.050839023144,39540.881342437024,220657008789.92792,220657008789.92792,0.0,2000000
44,BIOSEV - UNIDADE COLOMBIA,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
45,Biosev - Unidade Lagoa da Prata,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
46,BIOSEV - Unidade Leme,329673666.9195201,0.0,3055577.6738649034,110943322642.72797,83285435782.5734,136625.55624000003,2630.1207023172465,0.0,0.0,133995.4355376828,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,226439662.30026639,2000000
47,BIOSEV - Unidade MB,503908760.1556998,0.0,0.0,110943322642.72797,83285435782.5734,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,220657008789.92792,220657008789.92792,581352397.0826058,3000000
