,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94471978878.75793,128916299057.9505,0.0,0.0,0.0,0.0,78421672.51972064
1,Refinaria Landulpho Alves,0.0,0.0,94471978878.75793,128916299057.9505,0.0,0.0,0.0,0.0,78421672.51972064
2,Refinaria Duque de Caxias,0.0,0.0,94471978878.75793,128916299057.9505,0.0,0.0,0.0,0.0,78421672.51972064
3,Refinaria Alberto Pasqualini ,0.0,0.0,94471978878.75793,128916299057.9505,0.0,0.0,0.0,0.0,78421672.51972064
4,Refinaria Gabriel Passos,0.0,0.0,94471978878.75793,128916299057.9505,0.0,0.0,0.0,0.0,78421672.51972064
5,Refinaria Isaac Sabbá,0.0,0.0,94471978878.75793,128916299057.9505,0.0,0.0,0.0,0.0,78421672.51972064
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94471978878.75793,128916299057.9505,0.0,0.0,0.0,0.0,78421672.51972064
7,Refinaria de Paulínia ,0.0,0.0,94471978878.75793,128916299057.9505,427256.4487,0.0,0.0,0.0,78421672.51972064
8,Refinaria Henrique Lage,0.0,0.0,94471978878.75793,128916299057.9505,0.0,0.0,0.0,0.0,78421672.51972064
