,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83310026458.4296,219179193609.02884,41341.15040000059,0.0,0.0,0.0,59324024.66919549
1,Refinaria Landulpho Alves,0.0,0.0,83310026458.4296,219179193609.02884,17426.21209999941,0.0,0.0,0.0,59324024.66919549
2,Refinaria Duque de Caxias,0.0,0.0,83310026458.4296,219179193609.02884,0.0,0.0,0.0,0.0,59324024.66919549
3,Refinaria Alberto Pasqualini ,0.0,0.0,83310026458.4296,219179193609.02884,0.0,0.0,0.0,0.0,59324024.66919549
4,Refinaria Gabriel Passos,0.0,0.0,83310026458.4296,219179193609.02884,3961.240700000015,0.0,0.0,0.0,59324024.66919549
5,Refinaria Isaac Sabbá,0.0,0.0,83310026458.4296,219179193609.02884,0.0,0.0,0.0,0.0,59324024.66919549
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83310026458.4296,219179193609.02884,19644.332500000022,0.0,0.0,0.0,59324024.66919549
7,Refinaria de Paulínia ,0.0,0.0,83310026458.4296,219179193609.02884,344883.51300000004,0.0,0.0,0.0,59324024.66919549
8,Refinaria Henrique Lage,0.0,0.0,83310026458.4296,219179193609.02884,0.0,0.0,0.0,0.0,59324024.66919549
