,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94439190881.40784,238277375635.12662,74025.78899999999,0.0,0.0,0.0,334224119.14852023
1,Refinaria Landulpho Alves,0.0,0.0,94439190881.40784,238277375635.12662,219811.0235,0.0,0.0,0.0,334224119.14852023
2,Refinaria Duque de Caxias,0.0,0.0,94439190881.40784,238277375635.12662,0.0,0.0,0.0,0.0,334224119.14852023
3,Refinaria Alberto Pasqualini ,0.0,0.0,94439190881.40784,238277375635.12662,0.0,0.0,0.0,0.0,334224119.14852023
4,Refinaria Gabriel Passos,0.0,0.0,94439190881.40784,238277375635.12662,0.0,0.0,0.0,0.0,334224119.14852023
5,Refinaria Isaac Sabbá,0.0,0.0,94439190881.40784,238277375635.12662,0.0,0.0,0.0,0.0,334224119.14852023
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94439190881.40784,238277375635.12662,0.0,0.0,0.0,0.0,334224119.14852023
7,Refinaria de Paulínia ,0.0,0.0,94439190881.40784,238277375635.12662,1842445.431,0.0,0.0,0.0,334224119.14852023
8,Refinaria Henrique Lage,0.0,0.0,94439190881.40784,238277375635.12662,0.0,0.0,0.0,0.0,334224119.14852023
