,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives,payment
203,Pederneiras,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
204,Pedro Afonso - Bunge,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
205,Penedo (Paisa),162699436,0,0,1.25E+11,94439190881,90282,0,0,0,90282,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
206,Perolândia - Brenco,650797744,0,0,1.25E+11,94439190881,361128,361128,0,0,0,0,0,0,2936000,0,212800,0,0,0,0,0,2.38E+11,2.38E+11,243292112.6,4000000,0,0
207,Petribú,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
208,Pindorama,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
209,Pinheiro,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
210,Pioneiros,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
211,Pitangueiras,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
212,Porto Alegre,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
213,Porto das Águas & Associados,894846898,0,0,1.25E+11,94439190881,496551,496551,0,0,0,0,0,0,4037000,0,292600,0,0,0,0,0,2.38E+11,2.38E+11,334526654.9,5500000,0,0
214,Porto Rico,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
215,Pyles,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
216,Quatá,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
217,RAIZEN - Barra,923832727,0,0,1.25E+11,94439190881,198620.4,198620.4,0,0,0,0,0,3981589.545,55410.45451,489735.5141,292600,0,0,0,0,0,2.38E+11,2.38E+11,1065812728,5500000,0,0
218,RAIZEN - Benálcool,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
219,RAIZEN - Bom Retiro,335939173.4,0,0,1.25E+11,94439190881,72225.6,0,0,0,72225.6,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
220,RAIZEN - Bonfim,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
221,RAIZEN - Caarapó S/A Açúcar e álcool,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
222,RAIZEN - Costa Pinto,1422497180,84790408.75,50068727.72,1.25E+11,94439190881,451410,0,451410,1255907.073,0,0,0,0,3670000,0,266000,700000,700000,0,119512.1951,191219.5122,2.38E+11,2.38E+11,304115140.8,5000000,1754258771,2.506083959
223,RAIZEN - Destivale,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
224,RAIZEN - Diamante,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
225,RAIZEN - Gasa,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
226,RAIZEN - Ibaté,335939173.4,0,0,1.25E+11,94439190881,72225.6,0,0,0,72225.6,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
227,RAIZEN - Ipaussu,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
228,RAIZEN - Jataí,650797744,0,0,1.25E+11,94439190881,361128,361128,0,0,0,0,0,0,2936000,0,212800,0,0,0,0,0,2.38E+11,2.38E+11,243292112.6,4000000,0,0
229,RAIZEN - Junqueira,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
230,RAIZEN - Maracaí,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
231,RAIZEN - Mundial,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
232,RAIZEN - Paraguaçú,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
233,RAIZEN - Rafard,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
234,RAIZEN - Santa Helena,335939173.4,0,0,1.25E+11,94439190881,72225.6,0,0,0,72225.6,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
235,RAIZEN - TARUMÃ,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
236,RAIZEN - Univalem,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
237,Raizen Energia - Paraíso,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
238,Raizen Energia ¿ Santa Candida,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
239,Renuka - São Pedro do Ivaí,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
240,Renuka - Unidade Marialva,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
241,Ribeirão,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
242,Rio Amambai,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
243,Rio Claro de Goias,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
244,Rio do Cachimbo,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
245,Rio Pardo,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
246,Rio Vermelho,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
247,Rosa S/A,162699436,0,0,1.25E+11,94439190881,90282,0,0,0,90282,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
248,Santa Adélia,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
249,Santa Albertina,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
250,Santa Clotilde,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
251,Santa Cruz - BA,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
252,Santa Cruz - SP,839847933.6,0,0,1.25E+11,94439190881,180564,4248.802439,0,0,176315.1976,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
253,Santa Fé,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
254,Santa Helena - Goias,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
255,Santa Helena - Nova Andradina,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
256,Santa Inês,162699436,0,0,1.25E+11,94439190881,90282,0,0,0,90282,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
257,Santa Isabel,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
258,Santa Juliana,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
259,Santa Lúcia,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
260,Santa Luzia,894846898,0,0,1.25E+11,94439190881,496551,496551,0,0,0,0,0,0,4037000,0,292600,0,0,0,0,0,2.38E+11,2.38E+11,334526654.9,5500000,0,0
261,Santa Maria - Porto Calvo,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
262,Santa Maria - Medeiros Neto,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
263,Santa Maria - Cerquilho,335939173.4,0,0,1.25E+11,94439190881,72225.6,0,0,0,72225.6,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
264,Santa Maria - Manduri,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
265,Santa Rita,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
266,Santa Terezinha - Un. Cidade Gaúcha,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
267,Santa Terezinha - Un. Ivaté,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
268,Santa Terezinha - Un. Maringá,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
269,Santa Terezinha - Un. Paranacity,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
270,Santa Terezinha - Un. Rondon,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
271,Santa Terezinha - Un. São Tomé,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
272,Santa Terezinha - Un. Tapejara,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
273,Santa Terezinha - Un. Terra Rica,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
274,Santa Vitória,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
275,Santo Angelo,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
276,Santo Antonio,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
277,Santo Antônio,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
278,Santo Antonio - AB,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
279,São Carlos/Coopcana,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
280,São Domingos,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
281,São Fernando,923832727,0,0,1.25E+11,94439190881,198620.4,198620.4,0,0,0,0,0,3981589.545,55410.45451,489735.5141,292600,0,0,0,0,0,2.38E+11,2.38E+11,1065812728,5500000,0,0
282,São Francisco (Barrinha),325398872,0,0,1.25E+11,94439190881,180564,0,0,0,180564,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
283,São João,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
284,São João de Araras,671878346.9,0,0,1.25E+11,94439190881,144451.2,0,0,0,144451.2,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
285,São Joaquim,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
286,São José,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
287,São José Cia Energ.,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
288,São José da Estiva,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
289,São José ZL,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
290,São Judas Tadeu,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
291,São Luiz - Ourinhos,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
292,São Manoel,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
293,São Martinho,923832727,0,0,1.25E+11,94439190881,198620.4,0,0,0,198620.4,0,0,3981589.545,55410.45451,489735.5141,292600,0,0,0,0,0,2.38E+11,2.38E+11,1065812728,5500000,0,0
294,São Simão,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
295,Seresta,335939173.4,0,0,1.25E+11,94439190881,72225.6,23637.24756,0,0,48588.35244,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
296,Serra Grande,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
297,Sinimbu,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
298,SJC Bioenergia,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
299,Sonora Estância,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
300,Sumaúma,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
301,Tabu,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
302,Taquari,418337462.9,48156818.32,38768084.73,1.25E+11,94439190881,90282,0,90282,626393.1524,0,0,0,0,734000,0,53200,293836.8125,293836.8125,0,50167.26067,80267.61707,2.38E+11,2.38E+11,60823028.16,1000000,766695226.9,2.609255186
303,TG,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
304,TGM Destilaria,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
305,Trapiche,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
306,Tropical,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
307,Uberaba,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
308,UMOE Bioenergy,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
309,Una Açúcar,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
310,Unialco,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
311,União e Indústria,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
312,Unidade Tietê,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
313,Uruaçu,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
314,Usina Madhu(Equipav),894846898,0,0,1.25E+11,94439190881,496551,496551,0,0,0,0,0,0,4037000,0,292600,0,0,0,0,0,2.38E+11,2.38E+11,334526654.9,5500000,0,0
315,Usina Santa Isabel S/A - Fartura,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
316,Usina Zanin,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
317,UTE - Iolando Leite,162699436,0,0,1.25E+11,94439190881,90282,0,0,0,90282,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
318,Vale do Paracatu,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
319,Vale do Paraná S/A Álcool e Açúcar,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
320,Vale do Tijuco,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
321,Vale do Verdão,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
322,Vale Verde,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
323,Vale Verde - Filial II,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
324,Veredas,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
325,Vertente,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
326,Vicentina,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
327,Viralcool,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
328,Viralcool / Castilho,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
329,Virgolino de Oliveira,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
330,Virgolino de Oliveira - Catanduva,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
