,SAF Production,eth market,Total Cost,Total Profit,premium
0,0.0,40924830.6,230428722706.21576,130006578467.98587,0.0
1,0.0,40924830.6,230428722706.21576,130006578467.98587,0.1
2,0.0,40924830.6,230428722706.21576,130006578467.98587,0.2
3,0.0,40924830.6,230428722706.21576,130006578467.98587,0.30000000000000004
4,0.0,40924830.6,230428722706.21576,130006578467.98587,0.4
5,0.0,40924830.6,230428722706.21576,130006578467.98587,0.5
6,0.0,40924830.6,230428722706.21576,130006578467.98587,0.6000000000000001
7,0.0,40924830.6,230428722706.21576,130006578467.98587,0.7000000000000001
8,0.0,40924830.6,230428722706.21576,130006578467.98587,0.8
9,0.0,40924830.6,230428722706.21576,130006578467.98587,0.9
10,0.0,40924830.6,230428722706.21576,130006578467.98587,1.0
11,0.0,40924830.6,230428722706.21576,130006578467.98587,1.1
12,0.0,40924830.6,230428722706.21576,130006578467.98587,1.2000000000000002
13,0.0,40924830.6,230428722706.21576,130006578467.98587,1.3
14,0.0,40924830.6,230428722706.21576,130006578467.98587,1.4000000000000001
15,0.0,40924830.6,230428722706.21576,130006578467.98587,1.5
16,0.0,40924830.6,230428722706.21576,130006578467.98587,1.6
17,0.0,40924830.6,230428722706.21576,130006578467.98587,1.7000000000000002
18,0.0,40924830.6,230428722706.21576,130006578467.98587,1.8
19,0.0,40924830.6,230428722706.21576,130006578467.98587,1.9000000000000001
20,0.0,40924830.6,230428722706.21576,130006578467.98587,2.0
21,0.0,40924830.6,230428722706.21576,130006578467.98587,2.1
22,0.0,40924830.6,230428722706.21576,130006578467.98587,2.2
23,0.0,40924830.6,230428722706.21576,130006578467.98587,2.3000000000000003
24,10400384.099111114,15558040.11436322,282906744116.4525,130225606968.8675,2.4000000000000004
25,16719955.554000001,144451.2,314942845913.02234,131881740925.1712,2.5
26,16764374.298000157,36112.8,315197242142.91125,133533285724.10123,2.6
27,16764374.298000019,36112.8,315179893076.3882,135227072220.42374,2.7
28,16764374.297999987,36112.8,315162372919.60504,136921029807.00702,2.8000000000000003
29,16764374.298000174,36112.8,315177407170.4315,138582432985.9807,2.9000000000000004
30,16779180.546000056,0.0,315286956490.64465,140233226285.90732,3.0
31,16712642.3815565,162288.20596204975,314932687500.56036,141881699273.69366,3.1
32,16779180.546,0.0,315281695671.7389,143594323214.01288,3.2
33,16779180.546000004,0.0,315244784352.9778,145309152587.3742,3.3000000000000003
34,16779180.54599999,0.0,315291616437.5537,146940238557.39752,3.4000000000000004
35,16779180.545999996,0.0,315303095452.214,148606677597.33765,3.5
36,16779180.546,0.0,315292536069.7637,150295155034.38773,3.6
37,16779180.545999993,0.0,315244494512.8191,152021114645.93234,3.7
38,16779180.545999967,0.0,315263929246.076,153679597967.2752,3.8000000000000003
39,16779180.545999993,0.0,315261857527.9514,155359587739.99988,3.9000000000000004
40,16779180.545999985,0.0,315280389125.2616,157018974197.28955,4.0
