,volumes,Refinaria Clara Camarão,Refinaria Landulpho Alves,Refinaria Duque de Caxias,Refinaria Alberto Pasqualini ,Refinaria Gabriel Passos,Refinaria Isaac Sabbá,Refinaria Presidente Getúlio Vargas,Refinaria de Paulínia ,Refinaria Henrique Lage
0,Guarulhos - Governador André Franco Montoro,0,0,0,0,0,0,0,357436.18620000005,0
1,Presidente Juscelino Kubitschek,0,0,0,0,0,0,0,68108.0488,0
2,Tancredo Neves,0,0,0,0,0,0,0,7922.481400000001,0
3,Viracopos,0,0,0,0,0,0,0,81677.91600000001,0
4,RIo de Janeiro/Galeão - Antônio Carlos Jobim,0,0,0,0,0,0,0,163478.68300000002,0
5,Guararapes - Gilberto Freyre Internacional,0,0,0,0,0,0,0,46347.4084,0
6,Deputado Luis Eduardo Magalhães-Intl,0,0,0,0,0,0,0,26790.3462,0
7,Salgado Filho,0,0,0,0,0,0,0,23860.9448,0
8,Hercílio Luz,0,0,0,0,0,0,0,7205.557000000001,0
9,Pinto Martins,0,0,0,0,0,0,0,29599.0148,0
10,Aeroporto Internacional Afonso Pena,0,0,0,0,0,0,0,971.0246,0
11,Presidente Castro Pinto,0,0,0,0,0,0,0,31.580399999999997,0
12,Marechal Rondon,0,0,0,0,0,0,0,313.413,0
13,Santa Genoveva,0,0,0,0,0,0,0,11910.393,0
14,Aeroporto Internacional do Rio Grande do Norte / São Gonçalo do Amarante - Governador Aluizio Alves,0,0,0,0,0,0,0,11.3008,0
15,Zumbi dos Palmares,0,0,0,0,0,0,0,1582.6668,0
16,Marechal Cunha Machado Internacional,0,0,0,0,0,0,0,6654.7254,0
17,Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho,0,0,0,0,0,0,0,38.271,0
18,Santa Maria,0,0,0,0,0,0,0,4366.444200000001,0
19,Campo Grande Internacional,0,0,0,0,0,0,0,2.8898,0
20,Corumbá Internacional,0,0,0,0,0,0,0,115.53240000000001,0
21,Eurico de Aguiar Salles,0,0,0,0,0,0,0,5030.171200000001,0
22,Cabo Frio,0,0,0,0,0,0,0,1661.1288000000002,0
23,Cataratas,0,0,0,0,0,0,0,4034.6254000000004,0
24,João Simões Lopes Neto,0,0,0,0,0,0,0,90.67960000000001,0
25,Rubem Berta,0,0,0,0,0,0,0,71.5964,0
26,Navegantes / Ministro Victor Konder - Internacional,0,0,0,0,0,0,0,3054.2372,0
27,Aeroporto Internacional de Ponta Porã,0,0,0,0,0,0,0,32.6638,0
28,Aeroporto Internacional Senador Nilo Coelho,0,0,0,0,0,0,0,2112.967,0
