,SAF Production,eth market,Total Cost,Total Profit,premium
0,0.0,40924830.6,230428722706.21576,130006578467.98587,0.0
1,0.0,40924830.6,230428722706.21576,130006578467.98587,0.1
2,0.0,40924830.6,230428722706.21576,130006578467.98587,0.2
3,0.0,40924830.6,230428722706.21576,130006578467.98587,0.30000000000000004
4,0.0,40924830.6,230428722706.21576,130006578467.98587,0.4
5,0.0,40924830.6,230428722706.21576,130006578467.98587,0.5
6,0.0,40924830.6,230428722706.21576,130006578467.98587,0.6000000000000001
7,0.0,40924830.6,230428722706.21576,130006578467.98587,0.7000000000000001
8,0.0,40924830.6,230428722706.21576,130006578467.98587,0.8
9,0.0,40924830.6,230428722706.21576,130006578467.98587,0.9
10,0.0,40924830.6,230428722706.21576,130006578467.98587,1.0
11,0.0,40924830.6,230428722706.21576,130006578467.98587,1.1
12,0.0,40924830.6,230428722706.21576,130006578467.98587,1.2000000000000002
13,0.0,40924830.6,230428722706.21576,130006578467.98587,1.3
14,0.0,40924830.6,230428722706.21576,130006578467.98587,1.4000000000000001
15,0.0,40924830.6,230428722706.21576,130006578467.98587,1.5
16,0.0,40924830.6,230428722706.21576,130006578467.98587,1.6
17,0.0,40924830.6,230428722706.21576,130006578467.98587,1.7000000000000002
18,0.0,40924830.6,230428722706.21576,130006578467.98587,1.8
19,0.0,40924830.6,230428722706.21576,130006578467.98587,1.9000000000000001
20,0.0,40924830.6,230428722706.21576,130006578467.98587,2.0
21,0.0,40924830.6,230428722706.21576,130006578467.98587,2.1
22,0.0,40924830.6,230428722706.21576,130006578467.98587,2.2
23,0.0,40924830.6,230428722706.21576,130006578467.98587,2.3000000000000003
24,0.0,40924830.6,230428722706.21576,130006578467.98587,2.4000000000000004
25,0.0,40924830.6,230428722706.21576,130006578467.98587,2.5
26,0.0,40924830.6,230428722706.21576,130006578467.98587,2.6
27,0.0,40924830.6,230428722706.21576,130006578467.98587,2.7
28,0.0,40924830.6,230428722706.21576,130006578467.98587,2.8000000000000003
29,0.0,40924830.6,230428722706.21576,130006578467.98587,2.9000000000000004
30,0.0,40924830.6,230428722706.21576,130006578467.98587,3.0
31,0.0,40924830.6,230428722706.21576,130006578467.98587,3.1
32,0.0,40924830.6,230428722706.21576,130006578467.98587,3.2
33,0.0,40924830.6,230428722706.21576,130006578467.98587,3.3000000000000003
34,0.0,40924830.6,230428722706.21576,130006578467.98587,3.4000000000000004
35,0.0,40924830.6,230428722706.21576,130006578467.98587,3.5
36,0.0,40924830.6,230428722706.21576,130006578467.98587,3.6
37,0.0,40924830.6,230428722706.21576,130006578467.98587,3.7
38,0.0,40924830.6,230428722706.21576,130006578467.98587,3.8000000000000003
39,0.0,40924830.6,230428722706.21576,130006578467.98587,3.9000000000000004
40,11677138.115911113,5323799.758807275,303652843660.2346,130362251021.93567,4.0
