,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83293632674.52563,220165402562.76324,129566.9019,0.0,0.0,0.0,182695403.9196551
1,Refinaria Landulpho Alves,0.0,0.0,83293632674.52563,220165402562.76324,46735.1856,0.0,0.0,0.0,182695403.9196551
2,Refinaria Duque de Caxias,0.0,0.0,83293632674.52563,220165402562.76324,247709.7177,0.0,0.0,0.0,182695403.9196551
3,Refinaria Alberto Pasqualini ,0.0,0.0,83293632674.52563,220165402562.76324,0.0,0.0,0.0,0.0,182695403.9196551
4,Refinaria Gabriel Passos,0.0,0.0,83293632674.52563,220165402562.76324,19428.97890000004,0.0,0.0,0.0,182695403.9196551
5,Refinaria Isaac Sabbá,0.0,0.0,83293632674.52563,220165402562.76324,0.0,0.0,0.0,0.0,182695403.9196551
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83293632674.52563,220165402562.76324,58932.99750001333,0.0,0.0,0.0,182695403.9196551
7,Refinaria de Paulínia ,0.0,0.0,83293632674.52563,220165402562.76324,779395.5644999866,0.0,0.0,0.0,182695403.9196551
8,Refinaria Henrique Lage,0.0,0.0,83293632674.52563,220165402562.76324,0.0,0.0,0.0,0.0,182695403.9196551
