,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83310026458.4296,219181297358.28076,38367.55981111421,0.0,0.0,0.0,64710110.891591534
1,Refinaria Landulpho Alves,0.0,0.0,83310026458.4296,219181297358.28076,2620.7833888857917,0.0,0.0,0.0,64710110.891591534
2,Refinaria Duque de Caxias,0.0,0.0,83310026458.4296,219181297358.28076,0.0,0.0,0.0,0.0,64710110.891591534
3,Refinaria Alberto Pasqualini ,0.0,0.0,83310026458.4296,219181297358.28076,0.0,0.0,0.0,0.0,64710110.891591534
4,Refinaria Gabriel Passos,0.0,0.0,83310026458.4296,219181297358.28076,18412.8973,0.0,0.0,0.0,64710110.891591534
5,Refinaria Isaac Sabbá,0.0,0.0,83310026458.4296,219181297358.28076,0.0,0.0,0.0,0.0,64710110.891591534
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83310026458.4296,219181297358.28076,19644.33249999999,0.0,0.0,0.0,64710110.891591534
7,Refinaria de Paulínia ,0.0,0.0,83310026458.4296,219181297358.28076,348210.87570000003,0.0,0.0,0.0,64710110.891591534
8,Refinaria Henrique Lage,0.0,0.0,83310026458.4296,219181297358.28076,0.0,0.0,0.0,0.0,64710110.891591534
