,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,216265473.5240002,54492834.413985714,94447390252.5053,129843502474.93878,191385.37480000017,191385.37480000017,32675.55179512198,52280.882872195165,396161439.63973796
1,Refinaria Landulpho Alves,0.0,0.0,94447390252.5053,129843502474.93878,0.0,0.0,0.0,0.0,396161439.63973796
2,Refinaria Duque de Caxias,100386361.44,32959339.627677877,94447390252.5053,129843502474.93878,88837.488,88837.488,15167.376,24267.8016,396161439.63973796
3,Refinaria Alberto Pasqualini ,0.0,0.0,94447390252.5053,129843502474.93878,0.0,0.0,0.0,0.0,396161439.63973796
4,Refinaria Gabriel Passos,184041662.64000002,49202969.23789473,94447390252.5053,129843502474.93878,162868.728,162868.728,27806.856000000003,44490.9696,396161439.63973796
5,Refinaria Isaac Sabbá,0.0,0.0,94447390252.5053,129843502474.93878,0.0,0.0,0.0,0.0,396161439.63973796
6,Refinaria Presidente Getúlio Vargas,209138253.0,53322828.92369936,94447390252.5053,129843502474.93878,185078.1,185078.1,31598.7,50557.92,396161439.63973796
7,Refinaria de Paulínia ,791000000.0,127185358.1326386,94447390252.5053,129843502474.93878,700000.0,700000.0,119512.19512195124,191219.51219512196,396161439.63973796
8,Refinaria Henrique Lage,430367397.5199999,85587725.86902362,94447390252.5053,129843502474.93878,380856.10399999993,380856.10399999993,65024.21287804878,104038.74060487804,396161439.63973796
