,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94455585594.58951,126740639308.784,0.0,0.0,0.0,0.0,239762670.17627436
1,Refinaria Landulpho Alves,0.0,0.0,94455585594.58951,126740639308.784,0.0,0.0,0.0,0.0,239762670.17627436
2,Refinaria Duque de Caxias,0.0,0.0,94455585594.58951,126740639308.784,0.0,0.0,0.0,0.0,239762670.17627436
3,Refinaria Alberto Pasqualini ,0.0,0.0,94455585594.58951,126740639308.784,0.0,0.0,0.0,0.0,239762670.17627436
4,Refinaria Gabriel Passos,0.0,0.0,94455585594.58951,126740639308.784,0.0,0.0,0.0,0.0,239762670.17627436
5,Refinaria Isaac Sabbá,0.0,0.0,94455585594.58951,126740639308.784,0.0,0.0,0.0,0.0,239762670.17627436
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94455585594.58951,126740639308.784,0.0,0.0,0.0,0.0,239762670.17627436
7,Refinaria de Paulínia ,0.0,0.0,94455585594.58951,126740639308.784,1281769.3461000004,0.0,0.0,0.0,239762670.17627436
8,Refinaria Henrique Lage,0.0,0.0,94455585594.58951,126740639308.784,0.0,0.0,0.0,0.0,239762670.17627436
