,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94447390252.5053,125650227106.02698,0.0,0.0,0.0,0.0,309466751.66439986
1,Refinaria Landulpho Alves,0.0,0.0,94447390252.5053,125650227106.02698,0.0,0.0,0.0,0.0,309466751.66439986
2,Refinaria Duque de Caxias,0.0,0.0,94447390252.5053,125650227106.02698,0.0,0.0,0.0,0.0,309466751.66439986
3,Refinaria Alberto Pasqualini ,0.0,0.0,94447390252.5053,125650227106.02698,0.0,0.0,0.0,0.0,309466751.66439986
4,Refinaria Gabriel Passos,0.0,0.0,94447390252.5053,125650227106.02698,0.0,0.0,0.0,0.0,309466751.66439986
5,Refinaria Isaac Sabbá,0.0,0.0,94447390252.5053,125650227106.02698,0.0,0.0,0.0,0.0,309466751.66439986
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94447390252.5053,125650227106.02698,0.0,0.0,0.0,0.0,309466751.66439986
7,Refinaria de Paulínia ,0.0,0.0,94447390252.5053,125650227106.02698,1709025.7948,0.0,0.0,0.0,309466751.66439986
8,Refinaria Henrique Lage,0.0,0.0,94447390252.5053,125650227106.02698,0.0,0.0,0.0,0.0,309466751.66439986
