,SAF Production,eth market,Total Cost,Total Profit,premium
0,0.0,40924830.6,230428722706.21576,98330612035.17899,0.0
1,0.0,40924830.6,230428722706.21576,98330612035.17899,0.1
2,0.0,40924830.6,230428722706.21576,98330612035.17899,0.2
3,0.0,40924830.6,230428722706.21576,98330612035.17899,0.30000000000000004
4,0.0,40924830.6,230428722706.21576,98330612035.17899,0.4
5,0.0,40924830.6,230428722706.21576,98330612035.17899,0.5
6,0.0,40924830.6,230428722706.21576,98330612035.17899,0.6000000000000001
7,0.0,40924830.6,230428722706.21576,98330612035.17899,0.7000000000000001
8,0.0,40924830.6,230428722706.21576,98330612035.17899,0.8
9,0.0,40924830.6,230428722706.21576,98330612035.17899,0.9
10,0.0,40924830.6,230428722706.21576,98330612035.17899,1.0
11,0.0,40924830.6,230428722706.21576,98330612035.17899,1.1
12,0.0,40924830.6,230428722706.21576,98330612035.17899,1.2000000000000002
13,0.0,40924830.6,230428722706.21576,98330612035.17899,1.3
14,0.0,40924830.6,230428722706.21576,98330612035.17899,1.4000000000000001
15,0.0,40924830.6,230428722706.21576,98330612035.17899,1.5
16,0.0,40924830.6,230428722706.21576,98330612035.17899,1.6
17,0.0,40924830.6,230428722706.21576,98330612035.17899,1.7000000000000002
18,0.0,40924830.6,230428722706.21576,98330612035.17899,1.8
19,0.0,40924830.6,230428722706.21576,98330612035.17899,1.9000000000000001
20,0.0,40924830.6,230428722706.21576,98330612035.17899,2.0
21,0.0,40924830.6,230428722706.21576,98330612035.17899,2.1
22,0.0,40924830.6,230428722706.21576,98330612035.17899,2.2
23,0.0,40924830.6,230428722706.21576,98330612035.17899,2.3000000000000003
24,0.0,40924830.6,230428722706.21576,98330612035.17899,2.4000000000000004
25,0.0,40924830.6,230428722706.21576,98330612035.17899,2.5
26,15599731.541333333,2876704.8894308954,311809322614.3439,99111253998.73294,2.6
27,16734761.801999997,108338.40000000001,317811926355.073,100760145816.97928,2.7
28,16764374.298000002,36112.8,317970796527.02234,102436638514.17572,2.8000000000000003
29,16764374.298,36112.8,317977243299.7356,104106629171.26263,2.9000000000000004
30,16764374.298,36112.8,317970626167.63525,105789683733.16281,3.0
31,16779180.546,0.0,318059801977.6228,107462330571.8483,3.1
32,16779180.546,0.0,318056897264.40137,109143153339.66962,3.2
33,16779180.546,0.0,318062697326.4149,110815271332.25601,3.3000000000000003
34,16779180.546,0.0,318060672116.96985,112495214596.30121,3.4000000000000004
35,16779180.546,0.0,318065999381.07056,114167805386.80054,3.5
36,16779180.546,0.0,318069031317.69385,115842691504.77725,3.6
37,16779180.545999996,0.0,318060944946.0985,117528695930.97238,3.7
38,16779180.546,0.0,318069055604.5879,119198503327.08298,3.8000000000000003
39,16779180.546,0.0,318067841661.9365,120877635324.33444,3.9000000000000004
40,16779180.546,0.0,318065700202.68134,122557694838.18973,4.0
