,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83293632674.52402,220164276048.70074,124023.45120000215,0.0,0.0,0.0,175284179.87350255
1,Refinaria Landulpho Alves,0.0,0.0,83293632674.52402,220164276048.70074,52278.636299997845,0.0,0.0,0.0,175284179.87350255
2,Refinaria Duque de Caxias,0.0,0.0,83293632674.52402,220164276048.70074,247709.7177,0.0,0.0,0.0,175284179.87350255
3,Refinaria Alberto Pasqualini ,0.0,0.0,83293632674.52402,220164276048.70074,0.0,0.0,0.0,0.0,175284179.87350255
4,Refinaria Gabriel Passos,0.0,0.0,83293632674.52402,220164276048.70074,19428.9789,0.0,0.0,0.0,175284179.87350255
5,Refinaria Isaac Sabbá,0.0,0.0,83293632674.52402,220164276048.70074,0.0,0.0,0.0,0.0,175284179.87350255
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83293632674.52402,220164276048.70074,58932.99749999999,0.0,0.0,0.0,175284179.87350255
7,Refinaria de Paulínia ,0.0,0.0,83293632674.52402,220164276048.70074,779395.5644999964,0.0,0.0,0.0,175284179.87350255
8,Refinaria Henrique Lage,0.0,0.0,83293632674.52402,220164276048.70074,0.0,0.0,0.0,0.0,175284179.87350255
