,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity
0,Abengoa - São João Bv,503908760.1556998,0.0,0.0,109846149995.35153,83277238890.62169,108338.4,108338.39999999969,3.201421350240708e-10,-2.6044064248675736e-10,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,581352397.0826056,3000000
1,Abengoa - São Luiz,503908760.1556998,0.0,0.0,109846149995.35153,83277238890.62169,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,581352397.0826058,3000000
2,Adecoagro,839847933.592833,0.0,0.0,109846149995.35153,83277238890.62169,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.859538095,50373.14046190493,445214.10372318566,266000.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,968920661.804343,5000000
3,Agrisa,162699436.0,0.0,0.0,109846149995.35153,83277238890.62169,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,60823028.16,1000000
4,Agrocan,162699436.0,0.0,0.0,109846149995.35153,83277238890.62169,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,60823028.16,1000000
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,0.0,109846149995.35153,83277238890.62169,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,60823028.16,1000000
6,Agropeu,335939173.4371332,0.0,0.0,109846149995.35153,83277238890.62169,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,387568264.72173727,2000000
7,Agrosserra,162699436.0,0.0,0.0,109846149995.35153,83277238890.62169,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,60823028.16,1000000
8,Água Bonita,335939173.4371332,0.0,0.0,109846149995.35153,83277238890.62169,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,387568264.72173727,2000000
9,Alcoeste,164836833.45976004,0.0,0.0,109846149995.35153,83277238890.62169,68312.77812000002,68312.77812000002,0.0,0.0,0.0,0.0,0.0,293600.0,440400.0,36112.8,53200.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,114747619.98706558,1000000
10,Alcon,167969586.71856663,0.0,0.0,109846149995.35153,83277238890.62169,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,193784132.3608686,1000000
11,Alcoolquímica,335939173.4371332,0.0,0.0,109846149995.35153,83277238890.62169,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,387568264.72173727,2000000
12,Alcoolvale,335939173.4371332,0.0,0.0,109846149995.35153,83277238890.62169,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,387568264.72173727,2000000
13,Alta Floresta (Alto Alegre),335939173.4371332,0.0,0.0,109846149995.35153,83277238890.62169,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,387568264.72173727,2000000
14,Alta Mogiana,923832726.9521163,0.0,0.0,109846149995.35153,83277238890.62169,198620.4,198620.4,0.0,0.0,0.0,0.0,0.0,3981589.5454919045,55410.454508095514,489735.5140955042,292600.0,0.0,0.0,0.0,0.0,0.0,221149363506.951,221149363506.951,1065812727.9847772,5500000
