,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83310026458.4296,219179201530.9186,41341.1504,0.0,0.0,0.0,59331803.860918835
1,Refinaria Landulpho Alves,0.0,0.0,83310026458.4296,219179201530.9186,17426.2121,0.0,0.0,0.0,59331803.860918835
2,Refinaria Duque de Caxias,0.0,0.0,83310026458.4296,219179201530.9186,0.0,0.0,0.0,0.0,59331803.860918835
3,Refinaria Alberto Pasqualini ,0.0,0.0,83310026458.4296,219179201530.9186,0.0,0.0,0.0,0.0,59331803.860918835
4,Refinaria Gabriel Passos,0.0,0.0,83310026458.4296,219179201530.9186,3961.240700000015,0.0,0.0,0.0,59331803.860918835
5,Refinaria Isaac Sabbá,0.0,0.0,83310026458.4296,219179201530.9186,0.0,0.0,0.0,0.0,59331803.860918835
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83310026458.4296,219179201530.9186,19644.33250000002,0.0,0.0,0.0,59331803.860918835
7,Refinaria de Paulínia ,0.0,0.0,83310026458.4296,219179201530.9186,344883.51300000004,0.0,0.0,0.0,59331803.860918835
8,Refinaria Henrique Lage,0.0,0.0,83310026458.4296,219179201530.9186,0.0,0.0,0.0,0.0,59331803.860918835
