,SAF Production,eth market,Total Cost,Total Profit,premium
0,0.0,40924830.6,230428722706.21576,130006578467.98587,0.0
1,0.0,40924830.6,230428722706.21576,130006578467.98587,0.1
2,0.0,40924830.6,230428722706.21576,130006578467.98587,0.2
3,0.0,40924830.6,230428722706.21576,130006578467.98587,0.30000000000000004
4,0.0,40924830.6,230428722706.21576,130006578467.98587,0.4
5,0.0,40924830.6,230428722706.21576,130006578467.98587,0.5
6,0.0,40924830.6,230428722706.21576,130006578467.98587,0.6000000000000001
7,0.0,40924830.6,230428722706.21576,130006578467.98587,0.7000000000000001
8,0.0,40924830.6,230428722706.21576,130006578467.98587,0.8
9,0.0,40924830.6,230428722706.21576,130006578467.98587,0.9
10,0.0,40924830.6,230428722706.21576,130006578467.98587,1.0
11,0.0,40924830.6,230428722706.21576,130006578467.98587,1.1
12,0.0,40924830.6,230428722706.21576,130006578467.98587,1.2000000000000002
13,0.0,40924830.6,230428722706.21576,130006578467.98587,1.3
14,0.0,40924830.6,230428722706.21576,130006578467.98587,1.4000000000000001
15,0.0,40924830.6,230428722706.21576,130006578467.98587,1.5
16,0.0,40924830.6,230428722706.21576,130006578467.98587,1.6
17,0.0,40924830.6,230428722706.21576,130006578467.98587,1.7000000000000002
18,0.0,40924830.6,230428722706.21576,130006578467.98587,1.8
19,0.0,40924830.6,230428722706.21576,130006578467.98587,1.9000000000000001
20,0.0,40924830.6,230428722706.21576,130006578467.98587,2.0
21,0.0,40924830.6,230428722706.21576,130006578467.98587,2.1
22,0.0,40924830.6,230428722706.21576,130006578467.98587,2.2
23,0.0,40924830.6,230428722706.21576,130006578467.98587,2.3000000000000003
24,0.0,40924830.6,230428722706.21576,130006578467.98587,2.4000000000000004
25,0.0,40924830.6,230428722706.21576,130006578467.98587,2.5
26,0.0,40924830.6,230428722706.21576,130006578467.98587,2.6
27,0.0,40924830.6,230428722706.21576,130006578467.98587,2.7
28,15545417.050444447,3009179.2574525466,314364683452.83594,131054879662.00693,2.8000000000000003
29,16762769.802000036,40026.20487804877,321014753642.23206,132736155850.31082,2.9000000000000004
30,16764374.298,36112.80000000024,320996848615.6046,134439428970.60779,3.0
31,16764374.297999999,36112.8,320987810344.7263,136124904671.2854,3.1
32,16764374.298000023,36112.8,320981579122.74896,137807573323.0634,3.2
33,16764464.249555856,35893.40596205965,321036159679.44824,139429966397.69943,3.3000000000000003
34,16779180.546000574,0.0,321116360571.7241,141115494423.2285,3.4000000000000004
35,16779180.546000615,9.305466609464967e-12,321095503014.38165,142814270035.17413,3.5
36,16779180.546,0.0,321164404225.89453,144423286878.257,3.6
37,16779180.546,0.0,321145820636.4253,146119788522.3267,3.7
38,16779180.54599998,0.0,321068242931.6347,147875284281.71686,3.8000000000000003
39,16779180.545999996,0.0,321099534213.9995,149521911053.9519,3.9000000000000004
40,16779180.545999978,0.0,321086922129.5366,151212441193.01477,4.0
