,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83310026458.4296,219179551459.99118,41341.1504,0.0,0.0,0.0,59681732.93350817
1,Refinaria Landulpho Alves,0.0,0.0,83310026458.4296,219179551459.99118,17426.2121,0.0,0.0,0.0,59681732.93350817
2,Refinaria Duque de Caxias,0.0,0.0,83310026458.4296,219179551459.99118,0.0,0.0,0.0,0.0,59681732.93350817
3,Refinaria Alberto Pasqualini ,0.0,0.0,83310026458.4296,219179551459.99118,0.0,0.0,0.0,0.0,59681732.93350817
4,Refinaria Gabriel Passos,0.0,0.0,83310026458.4296,219179551459.99118,3961.2407000000003,0.0,0.0,0.0,59681732.93350817
5,Refinaria Isaac Sabbá,0.0,0.0,83310026458.4296,219179551459.99118,0.0,0.0,0.0,0.0,59681732.93350817
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83310026458.4296,219179551459.99118,19644.33250000002,0.0,0.0,0.0,59681732.93350817
7,Refinaria de Paulínia ,0.0,0.0,83310026458.4296,219179551459.99118,344883.51300000004,0.0,0.0,0.0,59681732.93350817
8,Refinaria Henrique Lage,0.0,0.0,83310026458.4296,219179551459.99118,0.0,0.0,0.0,0.0,59681732.93350817
