,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83293632674.52635,220163176020.00668,124023.45119999998,0.0,0.0,0.0,178970619.16911876
1,Refinaria Landulpho Alves,0.0,0.0,83293632674.52635,220163176020.00668,52278.6363,0.0,0.0,0.0,178970619.16911876
2,Refinaria Duque de Caxias,0.0,0.0,83293632674.52635,220163176020.00668,247709.7177,0.0,0.0,0.0,178970619.16911876
3,Refinaria Alberto Pasqualini ,0.0,0.0,83293632674.52635,220163176020.00668,0.0,0.0,0.0,0.0,178970619.16911876
4,Refinaria Gabriel Passos,0.0,0.0,83293632674.52635,220163176020.00668,19428.9789,0.0,0.0,0.0,178970619.16911876
5,Refinaria Isaac Sabbá,0.0,0.0,83293632674.52635,220163176020.00668,0.0,0.0,0.0,0.0,178970619.16911876
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83293632674.52635,220163176020.00668,58932.9975,0.0,0.0,0.0,178970619.16911876
7,Refinaria de Paulínia ,0.0,0.0,83293632674.52635,220163176020.00668,779395.5645000001,0.0,0.0,0.0,178970619.16911876
8,Refinaria Henrique Lage,0.0,0.0,83293632674.52635,220163176020.00668,0.0,0.0,0.0,0.0,178970619.16911876
