,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83301829566.47769,219671669160.5439,84264.96759999992,0.0,0.0,0.0,117312403.0418607
1,Refinaria Landulpho Alves,0.0,0.0,83301829566.47769,219671669160.5439,33269.7574000001,0.0,0.0,0.0,117312403.0418607
2,Refinaria Duque de Caxias,0.0,0.0,83301829566.47769,219671669160.5439,165139.81180000002,0.0,0.0,0.0,117312403.0418607
3,Refinaria Alberto Pasqualini ,0.0,0.0,83301829566.47769,219671669160.5439,0.0,0.0,0.0,0.0,117312403.0418607
4,Refinaria Gabriel Passos,0.0,0.0,83301829566.47769,219671669160.5439,12952.652600000001,0.0,0.0,0.0,117312403.0418607
5,Refinaria Isaac Sabbá,0.0,0.0,83301829566.47769,219671669160.5439,0.0,0.0,0.0,0.0,117312403.0418607
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83301829566.47769,219671669160.5439,39288.66499999999,0.0,0.0,0.0,117312403.0418607
7,Refinaria de Paulínia ,0.0,0.0,83301829566.47769,219671669160.5439,519597.04300000006,0.0,0.0,0.0,117312403.0418607
8,Refinaria Henrique Lage,0.0,0.0,83301829566.47769,219671669160.5439,0.0,0.0,0.0,0.0,117312403.0418607
