,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83277238890.62173,221151254734.96512,209812.09541239982,0.0,0.0,0.0,301304165.0361414
1,Refinaria Landulpho Alves,0.0,0.0,83277238890.62173,221151254734.96512,84024.71708760016,0.0,0.0,0.0,301304165.0361414
2,Refinaria Duque de Caxias,0.0,0.0,83277238890.62173,221151254734.96512,412849.5295,0.0,0.0,0.0,301304165.0361414
3,Refinaria Alberto Pasqualini ,0.0,0.0,83277238890.62173,221151254734.96512,0.0,0.0,0.0,0.0,301304165.0361414
4,Refinaria Gabriel Passos,0.0,0.0,83277238890.62173,221151254734.96512,32381.6315,0.0,0.0,0.0,301304165.0361414
5,Refinaria Isaac Sabbá,0.0,0.0,83277238890.62173,221151254734.96512,0.0,0.0,0.0,0.0,301304165.0361414
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83277238890.62173,221151254734.96512,98221.66249999279,0.0,0.0,0.0,301304165.0361414
7,Refinaria de Paulínia ,0.0,0.0,83277238890.62173,221151254734.96512,1298992.6075000002,0.0,0.0,0.0,301304165.0361414
8,Refinaria Henrique Lage,0.0,0.0,83277238890.62173,221151254734.96512,0.0,0.0,0.0,0.0,301304165.0361414
