,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94447390252.5053,125649825471.33844,0.0,0.0,0.0,0.0,310529285.2661818
1,Refinaria Landulpho Alves,0.0,0.0,94447390252.5053,125649825471.33844,0.0,0.0,0.0,0.0,310529285.2661818
2,Refinaria Duque de Caxias,0.0,0.0,94447390252.5053,125649825471.33844,0.0,0.0,0.0,0.0,310529285.2661818
3,Refinaria Alberto Pasqualini ,0.0,0.0,94447390252.5053,125649825471.33844,0.0,0.0,0.0,0.0,310529285.2661818
4,Refinaria Gabriel Passos,0.0,0.0,94447390252.5053,125649825471.33844,0.0,0.0,0.0,0.0,310529285.2661818
5,Refinaria Isaac Sabbá,0.0,0.0,94447390252.5053,125649825471.33844,0.0,0.0,0.0,0.0,310529285.2661818
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94447390252.5053,125649825471.33844,0.0,0.0,0.0,0.0,310529285.2661818
7,Refinaria de Paulínia ,0.0,0.0,94447390252.5053,125649825471.33844,1709025.7948,0.0,0.0,0.0,310529285.2661818
8,Refinaria Henrique Lage,0.0,0.0,94447390252.5053,125649825471.33844,0.0,0.0,0.0,0.0,310529285.2661818
