,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives
0,Abengoa - São João Bv,503908760.1556998,0.0,0.0,109844894255.04932,83277238890.62172,108338.4,108338.39999999737,0.0,0.0,2.008164301514626e-09,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,221150777083.14447,221150777083.14447,581352397.0826044,3000000,0
1,Abengoa - São Luiz,503908760.1556998,0.0,0.0,109844894255.04932,83277238890.62172,108338.4,108338.39999999698,0.0,0.0,2.753675088281076e-09,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,221150777083.14447,221150777083.14447,581352397.0826054,3000000,0
2,Adecoagro,839847933.592833,0.0,0.0,109844894255.04932,83277238890.62172,180564.0,180563.99999999866,0.0,0.0,1.1059455573558812e-09,0.0,0.0,3619626.859538095,50373.14046190493,445214.10372318566,266000.0,0.0,0.0,0.0,0.0,0.0,221150777083.14447,221150777083.14447,968920661.8043425,5000000,0
3,Agrisa,162699436.0,0.0,0.0,109844894255.04932,83277238890.62172,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221150777083.14447,221150777083.14447,60823028.16,1000000,0
4,Agrocan,162699436.0,0.0,0.0,109844894255.04932,83277238890.62172,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221150777083.14447,221150777083.14447,60823028.16,1000000,0
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,0.0,109844894255.04932,83277238890.62172,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221150777083.14447,221150777083.14447,60823028.16,1000000,0
6,Agropeu,335939173.4371332,0.0,0.0,109844894255.04932,83277238890.62172,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221150777083.14447,221150777083.14447,387568264.72173727,2000000,0
7,Agrosserra,162699436.0,0.0,0.0,109844894255.04932,83277238890.62172,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221150777083.14447,221150777083.14447,60823028.16,1000000,0
8,Água Bonita,335939173.4371332,0.0,0.0,109844894255.04932,83277238890.62172,72225.6,72225.59999999676,0.0,0.0,3.251059837916351e-09,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221150777083.14447,221150777083.14447,387568264.72173715,2000000,0
9,Alcoeste,167969586.71856663,0.0,0.0,109844894255.04932,83277238890.62172,36112.8,36112.79999999782,0.0,0.0,2.182787284255028e-09,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,221150777083.14447,221150777083.14447,193784132.3608686,1000000,0
