,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83277238890.62175,221152210787.34314,206705.752,0.0,0.0,0.0,305133372.95265466
1,Refinaria Landulpho Alves,0.0,0.0,83277238890.62175,221152210787.34314,87131.06049999999,0.0,0.0,0.0,305133372.95265466
2,Refinaria Duque de Caxias,0.0,0.0,83277238890.62175,221152210787.34314,412849.5295,0.0,0.0,0.0,305133372.95265466
3,Refinaria Alberto Pasqualini ,0.0,0.0,83277238890.62175,221152210787.34314,0.0,0.0,0.0,0.0,305133372.95265466
4,Refinaria Gabriel Passos,0.0,0.0,83277238890.62175,221152210787.34314,32381.6315,0.0,0.0,0.0,305133372.95265466
5,Refinaria Isaac Sabbá,0.0,0.0,83277238890.62175,221152210787.34314,0.0,0.0,0.0,0.0,305133372.95265466
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83277238890.62175,221152210787.34314,98221.66249999998,0.0,0.0,0.0,305133372.95265466
7,Refinaria de Paulínia ,0.0,0.0,83277238890.62175,221152210787.34314,1298992.6075000002,0.0,0.0,0.0,305133372.95265466
8,Refinaria Henrique Lage,0.0,0.0,83277238890.62175,221152210787.34314,0.0,0.0,0.0,0.0,305133372.95265466
