,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity
0,Abengoa - São João Bv,503908760.1556998,0.0,-3.161863143144313e-08,113137444870.48688,83301829566.47766,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.115722857,30223.88427714305,267128.4622339114,159600.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,581352397.0826058,3000000
1,Abengoa - São Luiz,503908760.1556997,0.0,0.0,113137444870.48688,83301829566.47766,108338.4,108338.39999999716,0.0,0.0,2.7648638933897023e-09,0.0,0.0,2171776.115722856,30223.88427714398,267128.46223391127,159600.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,581352397.0826054,3000000
2,Adecoagro,839847933.592833,0.0,0.0,113137444870.48688,83301829566.47766,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.859538095,50373.14046190493,445214.10372318566,266000.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,968920661.804343,5000000
3,Agrisa,162699436.0,0.0,0.0,113137444870.48688,83301829566.47766,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,60823028.16,1000000
4,Agrocan,162699436.0,0.0,0.0,113137444870.48688,83301829566.47766,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,60823028.16,1000000
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,0.0,113137444870.48688,83301829566.47766,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,60823028.16,1000000
6,Agropeu,335939173.4371332,0.0,-6.802166751096803e-08,113137444870.48688,83301829566.47766,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,387568264.7217373,2000000
7,Agrosserra,162699436.0,0.0,0.0,113137444870.48688,83301829566.47766,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,60823028.16,1000000
8,Água Bonita,335939173.4371332,0.0,0.0,113137444870.48688,83301829566.47766,72225.6,72225.59999999701,0.0,0.0,2.997694537043572e-09,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,387568264.72173715,2000000
9,Alcoeste,164836833.45976004,0.0,-6.123699879736586e-08,113137444870.48688,83301829566.47766,68312.77812000002,68312.77812000002,0.0,0.0,0.0,0.0,0.0,293600.0,440400.0,36112.8,53200.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,114747619.98706564,1000000
10,Alcon,167969586.71856663,0.0,0.0,113137444870.48688,83301829566.47766,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,193784132.3608686,1000000
11,Alcoolquímica,335939173.4371332,0.0,0.0,113137444870.48688,83301829566.47766,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,387568264.72173727,2000000
12,Alcoolvale,335939173.4371332,0.0,0.0,113137444870.48688,83301829566.47766,72225.6,72225.59999999724,0.0,0.0,2.7648638933897023e-09,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,219672323715.8042,219672323715.8042,387568264.72173715,2000000
