,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,133848481.91999999,39566876.49493907,94455585594.58951,129900525070.27321,118449.98399999998,118449.98399999998,20223.167999999998,32357.068799999997,247669890.53760657
1,Refinaria Landulpho Alves,0.0,0.0,94455585594.58951,129900525070.27321,0.0,0.0,0.0,0.0,247669890.53760657
2,Refinaria Duque de Caxias,41827650.6,14511388.979775438,94455585594.58951,129900525070.27321,37015.62,37015.62,6319.740000000001,10111.584,247669890.53760657
3,Refinaria Alberto Pasqualini ,0.0,0.0,94455585594.58951,129900525070.27321,0.0,0.0,0.0,0.0,247669890.53760657
4,Refinaria Gabriel Passos,184041662.64000002,49202969.23789473,94455585594.58951,129900525070.27321,162868.728,162868.728,27806.856000000003,44490.9696,247669890.53760657
5,Refinaria Isaac Sabbá,0.0,0.0,94455585594.58951,129900525070.27321,0.0,0.0,0.0,0.0,247669890.53760657
6,Refinaria Presidente Getúlio Vargas,83655301.2,29022777.959550876,94455585594.58951,129900525070.27321,74031.24,74031.24,12639.480000000001,20223.168,247669890.53760657
7,Refinaria de Paulínia ,791000000.0,127185358.1326386,94455585594.58951,129900525070.27321,700000.0,700000.0,119512.19512195124,191219.51219512196,247669890.53760657
8,Refinaria Henrique Lage,214026264.73300007,54125245.59439673,94455585594.58951,129900525070.27321,189403.77410000007,189403.77410000007,32337.229724390258,51739.56755902441,247669890.53760657
