,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94439192310.42108,124558387201.82846,0.0,0.0,0.0,0.0,389107100.084257
1,Refinaria Landulpho Alves,0.0,0.0,94439192310.42108,124558387201.82846,0.0,0.0,0.0,0.0,389107100.084257
2,Refinaria Duque de Caxias,0.0,0.0,94439192310.42108,124558387201.82846,0.0,0.0,0.0,0.0,389107100.084257
3,Refinaria Alberto Pasqualini ,0.0,0.0,94439192310.42108,124558387201.82846,0.0,0.0,0.0,0.0,389107100.084257
4,Refinaria Gabriel Passos,0.0,0.0,94439192310.42108,124558387201.82846,0.0,0.0,0.0,0.0,389107100.084257
5,Refinaria Isaac Sabbá,0.0,0.0,94439192310.42108,124558387201.82846,0.0,0.0,0.0,0.0,389107100.084257
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94439192310.42108,124558387201.82846,0.0,0.0,0.0,0.0,389107100.084257
7,Refinaria de Paulínia ,0.0,0.0,94439192310.42108,124558387201.82846,2136282.2435,0.0,0.0,0.0,389107100.084257
8,Refinaria Henrique Lage,0.0,0.0,94439192310.42108,124558387201.82846,0.0,0.0,0.0,0.0,389107100.084257
