,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives
0,Abengoa - São João Bv,503908760.15570664,0.0,3.252083275442179e-07,127828890196.32013,94463783536.67372,108338.4,108338.39999999813,0.0,1.9208528101444248e-08,1.8626451492309574e-09,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,7.933373934694215e-09,0.0,7.933373934694215e-09,1.35447847665511e-09,2.167165562648176e-09,127828890196.32013,231442038997.66644,581352397.0825872,3000000,0
1,Abengoa - São Luiz,503908760.15569973,0.0,0.0,127828890196.32013,94463783536.67372,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,581352397.0826056,3000000,0
2,Adecoagro,839847933.592833,0.0,0.0,127828890196.32013,94463783536.67372,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.8595380946,50373.140461905394,445214.1037231856,266000.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,968920661.8043427,5000000,0
3,Agrisa,162699436.0,0.0,0.0,127828890196.32013,94463783536.67372,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,60823028.16,1000000,0
4,Agrocan,162699436.0,0.0,0.0,127828890196.32013,94463783536.67372,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,60823028.16,1000000,0
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,0.0,127828890196.32013,94463783536.67372,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,60823028.16,1000000,0
6,Agropeu,335939173.4371332,0.0,0.0,127828890196.32013,94463783536.67372,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,387568264.72173727,2000000,0
7,Agrosserra,162699436.0,0.0,0.0,127828890196.32013,94463783536.67372,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,60823028.16,1000000,0
8,Água Bonita,335939173.4371332,0.0,0.0,127828890196.32013,94463783536.67372,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,387568264.72173727,2000000,0
9,Alcoeste,167969586.71856663,0.0,0.0,127828890196.32013,94463783536.67372,36112.8,36112.799999997646,0.0,0.0,2.3792381398379807e-09,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,193784132.36086866,1000000,0
10,Alcon,167969586.71856663,0.0,0.0,127828890196.32013,94463783536.67372,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,193784132.3608686,1000000,0
11,Alcoolquímica,335939173.4371332,0.0,0.0,127828890196.32013,94463783536.67372,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,387568264.72173727,2000000,0
12,Alcoolvale,335939173.4371332,0.0,0.0,127828890196.32013,94463783536.67372,72225.6,72225.6,0.0,0.0,1.0768417268991474e-09,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,387568264.72173977,2000000,0
13,Alta Floresta (Alto Alegre),335939173.4371332,0.0,0.0,127828890196.32013,94463783536.67372,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,387568264.72173727,2000000,0
14,Alta Mogiana,923832726.9521163,0.0,0.0,127828890196.32013,94463783536.67372,198620.4,198620.39999999703,0.0,0.0,3.0850060284137734e-09,0.0,0.0,3981589.5454919036,55410.454508096445,489735.5140955041,292600.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,1065812727.9847772,5500000,0
15,Alta Paulista (Usalpa),335939173.4371332,0.0,0.0,127828890196.32013,94463783536.67372,72225.6,72225.59999999867,0.0,0.0,1.3824319466948511e-09,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,127828890196.32013,231442038997.66644,387568264.72173727,2000000,0
