,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,93685337456.76694,232065479296.3717,211571.55555555556,0.0,0.0,0.0,312794237.37412477
1,Refinaria Landulpho Alves,0.0,0.0,93685337456.76694,232065479296.3717,73757.3207895924,0.0,0.0,0.0,312794237.37412477
2,Refinaria Duque de Caxias,0.0,0.0,93685337456.76694,232065479296.3717,0.0,0.0,0.0,0.0,312794237.37412477
3,Refinaria Alberto Pasqualini ,0.0,0.0,93685337456.76694,232065479296.3717,0.0,0.0,0.0,0.0,312794237.37412477
4,Refinaria Gabriel Passos,0.0,0.0,93685337456.76694,232065479296.3717,0.0,0.0,0.0,0.0,312794237.37412477
5,Refinaria Isaac Sabbá,0.0,0.0,93685337456.76694,232065479296.3717,0.0,0.0,0.0,0.0,312794237.37412477
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,93685337456.76694,232065479296.3717,0.0,0.0,0.0,0.0,312794237.37412477
7,Refinaria de Paulínia ,0.0,0.0,93685337456.76694,232065479296.3717,1850953.3671544392,0.0,0.0,0.0,312794237.37412477
8,Refinaria Henrique Lage,0.0,0.0,93685337456.76694,232065479296.3717,0.0,0.0,0.0,0.0,312794237.37412477
