,SAF Production,eth market,Total Cost,Total Profit,premium
0,0.0,40924830.6,230428722706.21576,111304913079.71939,0.0
1,0.0,40924830.6,230428722706.21576,111304913079.71939,0.1
2,0.0,40924830.6,230428722706.21576,111304913079.71939,0.2
3,0.0,40924830.6,230428722706.21576,111304913079.71939,0.30000000000000004
4,0.0,40924830.6,230428722706.21576,111304913079.71939,0.4
5,0.0,40924830.6,230428722706.21576,111304913079.71939,0.5
6,0.0,40924830.6,230428722706.21576,111304913079.71939,0.6000000000000001
7,0.0,40924830.6,230428722706.21576,111304913079.71939,0.7000000000000001
8,0.0,40924830.6,230428722706.21576,111304913079.71939,0.8
9,0.0,40924830.6,230428722706.21576,111304913079.71939,0.9
10,0.0,40924830.6,230428722706.21576,111304913079.71939,1.0
11,0.0,40924830.6,230428722706.21576,111304913079.71939,1.1
12,0.0,40924830.6,230428722706.21576,111304913079.71939,1.2000000000000002
13,0.0,40924830.6,230428722706.21576,111304913079.71939,1.3
14,0.0,40924830.6,230428722706.21576,111304913079.71939,1.4000000000000001
15,15939735.536000002,2047426.853658553,313722178032.6303,112195776948.88712,1.5
16,16734761.801999997,108338.40000000001,317931973356.8287,113858319277.22589,1.6
17,16764374.297999982,36112.8,318089919842.2239,115536168473.69528,1.7000000000000002
18,16764374.2980003,36112.80000105409,318124354917.62933,117178170828.0906,1.8
19,16764374.29799999,36112.80000000001,318098320462.6973,118880642712.82208,1.9000000000000001
20,16764374.298000678,36112.8,318094216583.36975,120561184021.95087,2.0
21,16779180.545999996,0.0,318203867510.11206,122215052775.03983,2.1
22,16779180.54599999,0.0,318194931105.27734,123901907234.47455,2.2
23,16779180.546000034,0.0,318163363461.96106,125611392932.39093,2.3000000000000003
24,16779180.546000004,0.0,318190337256.58923,127262337192.36261,2.4000000000000004
25,16779180.545999996,0.0,318198623143.5077,128931969360.04395,2.5
26,16779180.545999996,0.0,318179282254.85944,130629228303.29245,2.6
27,16745911.463777775,81144.10298102468,317993629556.156,132277168753.42877,2.7
28,16779180.54599999,0.0,318206792674.2148,133957553993.137,2.8000000000000003
29,16779180.54600027,0.0,318176632154.8794,135665632567.07318,2.9000000000000004
30,16779180.545999996,0.0,318204080939.31586,137316101837.23605,3.0
31,16779180.545999996,0.0,318187924088.12085,139010176743.03094,3.1
32,16779180.545999996,0.0,318225757784.65356,140650261101.09818,3.2
33,16779180.546000324,0.0,318177736309.0808,142376200631.27353,3.3000000000000003
34,16779180.545999974,0.0,318221281707.32336,144010573287.62842,3.4000000000000004
35,16779180.54600016,0.0,318195814919.4431,145713958130.1091,3.5
36,16779180.545999996,0.0,318168510819.124,147419180285.02762,3.6
37,16779180.54599999,0.0,318180333843.9734,149085275314.77832,3.7
38,16779180.545999978,0.0,318211188940.5648,150732338272.78656,3.8000000000000003
39,16779180.54599998,0.0,318191594317.6249,152429850950.3263,3.9000000000000004
40,16779180.545999996,0.0,318205295208.7161,154094068113.83563,4.0
