,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83301829566.47716,219671802845.43402,86377.93460000001,0.0,0.0,0.0,117446087.93247858
1,Refinaria Landulpho Alves,0.0,0.0,83301829566.47716,219671802845.43402,31156.7904,0.0,0.0,0.0,117446087.93247858
2,Refinaria Duque de Caxias,0.0,0.0,83301829566.47716,219671802845.43402,165139.81180000002,0.0,0.0,0.0,117446087.93247858
3,Refinaria Alberto Pasqualini ,0.0,0.0,83301829566.47716,219671802845.43402,0.0,0.0,0.0,0.0,117446087.93247858
4,Refinaria Gabriel Passos,0.0,0.0,83301829566.47716,219671802845.43402,12952.652600000169,0.0,0.0,0.0,117446087.93247858
5,Refinaria Isaac Sabbá,0.0,0.0,83301829566.47716,219671802845.43402,0.0,0.0,0.0,0.0,117446087.93247858
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83301829566.47716,219671802845.43402,39288.66499997827,0.0,0.0,0.0,117446087.93247858
7,Refinaria de Paulínia ,0.0,0.0,83301829566.47716,219671802845.43402,519597.0429999749,0.0,0.0,0.0,117446087.93247858
8,Refinaria Henrique Lage,0.0,0.0,83301829566.47716,219671802845.43402,0.0,0.0,0.0,0.0,117446087.93247858
