,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83310026458.42963,219179255159.5796,41341.15039999997,0.0,0.0,0.0,59385432.521884345
1,Refinaria Landulpho Alves,0.0,0.0,83310026458.42963,219179255159.5796,17426.21210000003,0.0,0.0,0.0,59385432.521884345
2,Refinaria Duque de Caxias,0.0,0.0,83310026458.42963,219179255159.5796,0.0,0.0,0.0,0.0,59385432.521884345
3,Refinaria Alberto Pasqualini ,0.0,0.0,83310026458.42963,219179255159.5796,0.0,0.0,0.0,0.0,59385432.521884345
4,Refinaria Gabriel Passos,0.0,0.0,83310026458.42963,219179255159.5796,3961.2406999999857,0.0,0.0,0.0,59385432.521884345
5,Refinaria Isaac Sabbá,0.0,0.0,83310026458.42963,219179255159.5796,0.0,0.0,0.0,0.0,59385432.521884345
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83310026458.42963,219179255159.5796,19644.332500000022,0.0,0.0,0.0,59385432.521884345
7,Refinaria de Paulínia ,0.0,0.0,83310026458.42963,219179255159.5796,344883.51300000004,0.0,0.0,0.0,59385432.521884345
8,Refinaria Henrique Lage,0.0,0.0,83310026458.42963,219179255159.5796,0.0,0.0,0.0,0.0,59385432.521884345
