,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83285435782.57362,220658985344.10544,172755.86920000002,0.0,0.0,0.0,242995703.03311914
1,Refinaria Landulpho Alves,0.0,0.0,83285435782.57362,220658985344.10544,62313.5808,0.0,0.0,0.0,242995703.03311914
2,Refinaria Duque de Caxias,0.0,0.0,83285435782.57362,220658985344.10544,330279.62360000005,0.0,0.0,0.0,242995703.03311914
3,Refinaria Alberto Pasqualini ,0.0,0.0,83285435782.57362,220658985344.10544,0.0,0.0,0.0,0.0,242995703.03311914
4,Refinaria Gabriel Passos,0.0,0.0,83285435782.57362,220658985344.10544,25905.305200000003,0.0,0.0,0.0,242995703.03311914
5,Refinaria Isaac Sabbá,0.0,0.0,83285435782.57362,220658985344.10544,0.0,0.0,0.0,0.0,242995703.03311914
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83285435782.57362,220658985344.10544,78577.3299999981,0.0,0.0,0.0,242995703.03311914
7,Refinaria de Paulínia ,0.0,0.0,83285435782.57362,220658985344.10544,1039194.0860000001,0.0,0.0,0.0,242995703.03311914
8,Refinaria Henrique Lage,0.0,0.0,83285435782.57362,220658985344.10544,0.0,0.0,0.0,0.0,242995703.03311914
