,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,83277238890.62238,221151586230.05884,206705.75199999998,0.0,0.0,0.0,309315151.98643565
1,Refinaria Landulpho Alves,0.0,0.0,83277238890.62238,221151586230.05884,87131.06049999999,0.0,0.0,0.0,309315151.98643565
2,Refinaria Duque de Caxias,0.0,0.0,83277238890.62238,221151586230.05884,412849.5295,0.0,0.0,0.0,309315151.98643565
3,Refinaria Alberto Pasqualini ,0.0,0.0,83277238890.62238,221151586230.05884,0.0,0.0,0.0,0.0,309315151.98643565
4,Refinaria Gabriel Passos,0.0,0.0,83277238890.62238,221151586230.05884,32381.6315,0.0,0.0,0.0,309315151.98643565
5,Refinaria Isaac Sabbá,0.0,0.0,83277238890.62238,221151586230.05884,0.0,0.0,0.0,0.0,309315151.98643565
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,83277238890.62238,221151586230.05884,98221.6625,0.0,0.0,0.0,309315151.98643565
7,Refinaria de Paulínia ,0.0,0.0,83277238890.62238,221151586230.05884,1298992.6075,0.0,0.0,0.0,309315151.98643565
8,Refinaria Henrique Lage,0.0,0.0,83277238890.62238,221151586230.05884,0.0,0.0,0.0,0.0,309315151.98643565
