,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity
0,Abengoa - São João Bv,503908760.1556998,0.0,0.0,129981721597.44852,94471978878.75793,108338.40000000002,108338.40000000002,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,129981721597.44852,231073937618.39716,581352397.0826058,3000000
1,Abengoa - São Luiz,503908760.1556998,0.0,0.0,129981721597.44852,94471978878.75793,108338.40000000002,108338.40000000002,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,129981721597.44852,231073937618.39716,581352397.0826058,3000000
2,Adecoagro,839847933.592833,0.0,0.0,129981721597.44852,94471978878.75793,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.8595380946,50373.140461905394,445214.1037231856,266000.0,0.0,0.0,0.0,0.0,0.0,129981721597.44852,231073937618.39716,968920661.8043427,5000000
3,Agrisa,162699435.99999997,0.0,0.0,129981721597.44852,94471978878.75793,90281.99999999999,90281.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,129981721597.44852,231073937618.39716,60823028.16,1000000
4,Agrocan,162699435.99999997,0.0,0.0,129981721597.44852,94471978878.75793,90281.99999999999,90281.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,129981721597.44852,231073937618.39716,60823028.16,1000000
5,Agropaulo - Un. Jaguaruana,162699435.99999997,0.0,0.0,129981721597.44852,94471978878.75793,90281.99999999999,90281.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,129981721597.44852,231073937618.39716,60823028.16,1000000
6,Agropeu,335939173.4371332,0.0,0.0,129981721597.44852,94471978878.75793,72225.59999999999,72225.59999999999,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,129981721597.44852,231073937618.39716,387568264.72173715,2000000
7,Agrosserra,162699435.99999997,0.0,0.0,129981721597.44852,94471978878.75793,90281.99999999999,90281.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,129981721597.44852,231073937618.39716,60823028.16,1000000
8,Água Bonita,335939173.4371332,0.0,0.0,129981721597.44852,94471978878.75793,72225.59999999999,72225.59999999999,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,129981721597.44852,231073937618.39716,387568264.72173715,2000000
9,Alcoeste,167969586.7185666,0.0,0.0,129981721597.44852,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.371907619,10074.628092381055,89042.82074463711,53200.0,0.0,0.0,0.0,0.0,0.0,129981721597.44852,231073937618.39716,193784132.3608685,1000000
