,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94439192310.42108,124558188520.01816,0.0,0.0,0.0,0.0,393959102.2498805
1,Refinaria Landulpho Alves,0.0,0.0,94439192310.42108,124558188520.01816,0.0,0.0,0.0,0.0,393959102.2498805
2,Refinaria Duque de Caxias,0.0,0.0,94439192310.42108,124558188520.01816,0.0,0.0,0.0,0.0,393959102.2498805
3,Refinaria Alberto Pasqualini ,0.0,0.0,94439192310.42108,124558188520.01816,0.0,0.0,0.0,0.0,393959102.2498805
4,Refinaria Gabriel Passos,0.0,0.0,94439192310.42108,124558188520.01816,0.0,0.0,0.0,0.0,393959102.2498805
5,Refinaria Isaac Sabbá,0.0,0.0,94439192310.42108,124558188520.01816,0.0,0.0,0.0,0.0,393959102.2498805
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94439192310.42108,124558188520.01816,0.0,0.0,0.0,0.0,393959102.2498805
7,Refinaria de Paulínia ,0.0,0.0,94439192310.42108,124558188520.01816,2136282.2435,0.0,0.0,0.0,393959102.2498805
8,Refinaria Henrique Lage,0.0,0.0,94439192310.42108,124558188520.01816,0.0,0.0,0.0,0.0,393959102.2498805
