,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity
0,Abengoa - São João Bv,494510500.37928,0.0,9565543.780427352,115226578615.35355,83293632674.52574,204938.33435999998,0.0,0.0,0.0,0.0,0.0,204938.33436000033,880800.0,1321200.0,108338.4,159600.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,334677316.18077016,3000000
1,Abengoa - São Luiz,503908760.15569973,0.0,0.0,115226578615.35355,83293632674.52574,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,581352397.0826056,3000000
2,Adecoagro,839847933.592833,0.0,0.0,115226578615.35355,83293632674.52574,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.8595380946,50373.140461905394,445214.1037231856,266000.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,968920661.8043427,5000000
3,Agrisa,162699436.0,0.0,0.0,115226578615.35355,83293632674.52574,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,60823028.16,1000000
4,Agrocan,162699436.0,0.0,0.0,115226578615.35355,83293632674.52574,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,60823028.16,1000000
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,3890847.2536102505,115226578615.35355,83293632674.52574,90282.0,0.0,0.0,0.0,0.0,0.0,90282.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,56932180.90638974,1000000
6,Agropeu,329673666.91952,0.0,0.0,115226578615.35355,83293632674.52574,136625.55624,136625.55624,0.0,0.0,0.0,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,229495239.97413123,2000000
7,Agrosserra,162699436.0,0.0,0.0,115226578615.35355,83293632674.52574,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,60823028.16,1000000
8,Água Bonita,329673666.91952,0.0,0.0,115226578615.35355,83293632674.52574,136625.55624,136625.55624,0.0,0.0,0.0,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,229495239.97413123,2000000
9,Alcoeste,164836833.45976004,0.0,0.0,115226578615.35355,83293632674.52574,68312.77812000002,68312.77812000002,0.0,0.0,0.0,0.0,0.0,293600.0,440400.0,36112.8,53200.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,114747619.98706558,1000000
10,Alcon,167969586.71856663,0.0,0.0,115226578615.35355,83293632674.52574,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,193784132.3608686,1000000
11,Alcoolquímica,335939173.4371332,0.0,0.0,115226578615.35355,83293632674.52574,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,387568264.72173727,2000000
12,Alcoolvale,329673666.91952,0.0,0.0,115226578615.35355,83293632674.52574,136625.55624,136625.55624,0.0,0.0,0.0,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,229495239.97413123,2000000
13,Alta Floresta (Alto Alegre),329673666.91952,0.0,0.0,115226578615.35355,83293632674.52574,136625.55624,136625.55624,0.0,0.0,0.0,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,220564641506.49854,220564641506.49854,229495239.97413123,2000000
