,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94463783536.67372,127828895568.35626,0.0,0.0,0.0,0.0,158665786.35898212
1,Refinaria Landulpho Alves,0.0,0.0,94463783536.67372,127828895568.35626,0.0,0.0,0.0,0.0,158665786.35898212
2,Refinaria Duque de Caxias,0.0,0.0,94463783536.67372,127828895568.35626,0.0,0.0,0.0,0.0,158665786.35898212
3,Refinaria Alberto Pasqualini ,0.0,0.0,94463783536.67372,127828895568.35626,0.0,0.0,0.0,0.0,158665786.35898212
4,Refinaria Gabriel Passos,0.0,0.0,94463783536.67372,127828895568.35626,0.0,0.0,0.0,0.0,158665786.35898212
5,Refinaria Isaac Sabbá,0.0,0.0,94463783536.67372,127828895568.35626,0.0,0.0,0.0,0.0,158665786.35898212
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94463783536.67372,127828895568.35626,0.0,0.0,0.0,0.0,158665786.35898212
7,Refinaria de Paulínia ,0.0,0.0,94463783536.67372,127828895568.35626,854512.8974,0.0,0.0,0.0,158665786.35898212
8,Refinaria Henrique Lage,0.0,0.0,94463783536.67372,127828895568.35626,0.0,0.0,0.0,0.0,158665786.35898212
