,volumes,Refinaria Clara Camarão,Refinaria Landulpho Alves,Refinaria Duque de Caxias,Refinaria Alberto Pasqualini ,Refinaria Gabriel Passos,Refinaria Isaac Sabbá,Refinaria Presidente Getúlio Vargas,Refinaria de Paulínia ,Refinaria Henrique Lage
0,Guarulhos - Governador André Franco Montoro,0.0,0.0,0,0,0,0,0.0,357436.1861999998,0
1,Presidente Juscelino Kubitschek,0.0,0.0,0,0,0,0,0.0,68108.04880000073,0
2,Tancredo Neves,0.0,0.0,0,0,0,0,0.0,7922.481399999753,0
3,Viracopos,0.0,0.0,0,0,0,0,0.0,81677.9159999999,0
4,RIo de Janeiro/Galeão - Antônio Carlos Jobim,0.0,0.0,0,0,0,0,0.0,163478.68299999976,0
5,Guararapes - Gilberto Freyre Internacional,46347.4084,0.0,0,0,0,0,0.0,0.0,0
6,Deputado Luis Eduardo Magalhães-Intl,0.0,26790.346200002212,0,0,0,0,0.0,0.0,0
7,Salgado Filho,0.0,0.0,0,0,0,0,23860.944799999885,0.0,0
8,Hercílio Luz,0.0,0.0,0,0,0,0,7205.556999999753,0.0,0
9,Pinto Martins,29599.0148,0.0,0,0,0,0,0.0,0.0,0
10,Aeroporto Internacional Afonso Pena,0.0,0.0,0,0,0,0,971.0245999998835,0.0,0
11,Presidente Castro Pinto,31.580399999999997,0.0,0,0,0,0,0.0,0.0,0
12,Marechal Rondon,0.0,0.0,0,0,0,0,0.0,313.413,0
13,Santa Genoveva,0.0,0.0,0,0,0,0,0.0,11910.393,0
14,Aeroporto Internacional do Rio Grande do Norte / São Gonçalo do Amarante - Governador Aluizio Alves,11.3008,0.0,0,0,0,0,0.0,0.0,0
15,Zumbi dos Palmares,1582.6668,0.0,0,0,0,0,0.0,0.0,0
16,Marechal Cunha Machado Internacional,6654.725400000699,0.0,0,0,0,0,0.0,0.0,0
17,Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho,38.271,0.0,0,0,0,0,0.0,0.0,0
18,Santa Maria,3156.7904000022127,1209.6537999977882,0,0,0,0,0.0,0.0,0
19,Campo Grande Internacional,0.0,0.0,0,0,0,0,0.0,2.8898,0
20,Corumbá Internacional,0.0,0.0,0,0,0,0,0.0,115.53240000000001,0
21,Eurico de Aguiar Salles,0.0,0.0,0,0,0,0,0.0,5030.171200000001,0
22,Cabo Frio,0.0,0.0,0,0,0,0,0.0,1661.1287999995054,0
23,Cataratas,0.0,0.0,0,0,0,0,1724.132799999246,2310.492600000638,0
24,João Simões Lopes Neto,0.0,0.0,0,0,0,0,90.67959999988359,0.0,0
25,Rubem Berta,0.0,0.0,0,0,0,0,71.59639999988359,0.0,0
26,Navegantes / Ministro Victor Konder - Internacional,0.0,0.0,0,0,0,0,3054.2371999997526,0.0,0
27,Aeroporto Internacional de Ponta Porã,0.0,0.0,0,0,0,0,0.0,32.6638,0
28,Aeroporto Internacional Senador Nilo Coelho,2112.967,0.0,0,0,0,0,0.0,0.0,0
