,SAF Production,eth market,Total Cost,Total Profit,premium
0,0.0,40924830.6,230428722706.21576,130006578467.98587,0.0
1,0.0,40924830.6,230428722706.21576,130006578467.98587,0.1
2,0.0,40924830.6,230428722706.21576,130006578467.98587,0.2
3,0.0,40924830.6,230428722706.21576,130006578467.98587,0.30000000000000004
4,0.0,40924830.6,230428722706.21576,130006578467.98587,0.4
5,0.0,40924830.6,230428722706.21576,130006578467.98587,0.5
6,0.0,40924830.6,230428722706.21576,130006578467.98587,0.6000000000000001
7,0.0,40924830.6,230428722706.21576,130006578467.98587,0.7000000000000001
8,0.0,40924830.6,230428722706.21576,130006578467.98587,0.8
9,0.0,40924830.6,230428722706.21576,130006578467.98587,0.9
10,0.0,40924830.6,230428722706.21576,130006578467.98587,1.0
11,0.0,40924830.6,230428722706.21576,130006578467.98587,1.1
12,0.0,40924830.6,230428722706.21576,130006578467.98587,1.2000000000000002
13,0.0,40924830.6,230428722706.21576,130006578467.98587,1.3
14,0.0,40924830.6,230428722706.21576,130006578467.98587,1.4000000000000001
15,0.0,40924830.6,230428722706.21576,130006578467.98587,1.5
16,0.0,40924830.6,230428722706.21576,130006578467.98587,1.6
17,19819733.524356175,640819.3716350498,320175271507.7199,131641008284.56903,1.7000000000000002
18,20117249.15760045,36112.8,321573214371.96155,133626517892.9065,1.8
19,20117249.157600336,36112.8,321532959652.6374,135678497527.99063,1.9000000000000001
20,20135016.655200895,0.0,321629839564.31604,137680592305.7731,2.0
21,20135016.65520001,0.0,321629018760.92664,139694914774.6808,2.1
22,20135016.655200012,0.0,321616223287.53625,141721211913.59158,2.2
23,20135016.655200027,0.0,321639978052.77057,143710958813.8771,2.3000000000000003
24,20135016.655200016,0.0,321637169883.30884,145727268648.85852,2.4000000000000004
25,20135016.655200005,0.0,321618980406.76807,147758959790.91934,2.5
26,20135016.65520001,0.0,321650543623.9595,149740898239.24783,2.6
27,20135016.655199993,0.0,321637634149.46515,151767309379.26193,2.7
28,20135016.655200005,0.0,321644202879.652,153774242314.59543,2.8000000000000003
29,20135016.655200005,0.0,321610246722.65625,155821700137.11093,2.9000000000000004
30,20135016.655200005,0.0,321670521181.3246,157774927343.96265,3.0
31,20135016.655200027,0.0,321658527960.9784,159800422229.8292,3.1
32,20135016.65520001,0.0,321614479039.07495,161857972817.25262,3.2
33,20135016.655200027,0.0,321657755327.9137,163828198193.93384,3.3000000000000003
34,20135016.655200016,0.0,321634036804.6798,165865418382.68762,3.4000000000000004
35,20135016.655200016,0.0,321632512616.33777,167880444236.54944,3.5
36,20135016.655199967,0.0,321649141524.67114,169877316993.7357,3.6
37,20112897.234755553,44958.17163504218,321517059700.4133,171876677614.32068,3.7
38,20135016.655200005,0.0,321616173087.8124,173937288761.6349,3.8000000000000003
39,20135016.655200012,0.0,321658216188.2213,175908747326.7459,3.9000000000000004
40,20135016.655199997,0.0,321669079606.48206,177911385574.00525,4.0
