,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity
0,Abengoa - São João Bv,494510500.37928,0.0,9565543.780427335,115117348299.88661,83277238890.62175,204938.33435999998,0.0,0.0,0.0,0.0,0.0,204938.33435999998,880800.0,1321200.0,108338.4,159600.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,334677316.18076944,3000000
1,Abengoa - São Luiz,494510500.37928,0.0,10554910.831161331,115117348299.88661,83277238890.62175,204938.33435999998,0.0,0.0,0.0,0.0,0.0,204938.33435999998,880800.0,1321200.0,108338.4,159600.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,333687949.13003546,3000000
2,Adecoagro,839847933.592833,0.0,0.0,115117348299.88661,83277238890.62175,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.8595380946,50373.140461905394,445214.1037231856,266000.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,968920661.8043427,5000000
3,Agrisa,162699436.0,0.0,2496329.5365331485,115117348299.88661,83277238890.62175,90282.0,21989.31707317596,0.0,0.0,0.0,0.0,68292.68292682403,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,58326698.62346682,1000000
4,Agrocan,162699436.0,0.0,0.0,115117348299.88661,83277238890.62175,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,60823028.16,1000000
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,3890847.2536102505,115117348299.88661,83277238890.62175,90282.0,0.0,0.0,0.0,0.0,0.0,90282.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,56932180.90638974,1000000
6,Agropeu,329673666.91952,0.0,5097563.47904155,115117348299.88661,83277238890.62175,136625.55624,0.0,0.0,0.0,0.0,0.0,136625.55624,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,224397676.49508965,2000000
7,Agrosserra,162699436.0,0.0,0.0,115117348299.88661,83277238890.62175,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,60823028.16,1000000
8,Água Bonita,335939173.4371332,0.0,0.0,115117348299.88661,83277238890.62175,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,387568264.72173727,2000000
9,Alcoeste,164836833.45976004,0.0,0.0,115117348299.88661,83277238890.62175,68312.77812000002,68312.77812000002,0.0,0.0,0.0,0.0,0.0,293600.0,440400.0,36112.8,53200.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,114747619.98706558,1000000
10,Alcon,167969586.71856663,0.0,0.0,115117348299.88661,83277238890.62175,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,193784132.3608686,1000000
11,Alcoolquímica,329673666.91952,0.0,0.0,115117348299.88661,83277238890.62175,136625.55624,136625.55624,0.0,0.0,0.0,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,229495239.97413123,2000000
12,Alcoolvale,329673666.91952,0.0,0.0,115117348299.88661,83277238890.62175,136625.55624,136625.55624,0.0,0.0,0.0,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,229495239.97413123,2000000
13,Alta Floresta (Alto Alegre),329673666.91952,0.0,0.0,115117348299.88661,83277238890.62175,136625.55624,136625.55624,0.0,0.0,0.0,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,229495239.97413123,2000000
14,Alta Mogiana,923832726.9521163,0.0,0.0,115117348299.88661,83277238890.62175,198620.4,198620.4,0.0,0.0,0.0,0.0,0.0,3981589.545491904,55410.45450809598,489735.5140955042,292600.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,1065812727.9847772,5500000
15,Alta Paulista (Usalpa),329673666.91952,0.0,0.0,115117348299.88661,83277238890.62175,136625.55624,136625.55624,0.0,0.0,0.0,0.0,0.0,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,229495239.97413123,2000000
16,Alta Paulista II,325398872.0,0.0,0.0,115117348299.88661,83277238890.62175,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,121646056.32,2000000
17,Alto Alegre - Florestópolis,494510500.37928,0.0,0.0,115117348299.88661,83277238890.62175,204938.33435999998,204938.33435999998,0.0,0.0,0.0,0.0,0.0,880800.0,1321200.0,108338.4,159600.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,344242859.9611968,3000000
18,Alto Alegre - Unidade Junqueira,671878346.8742664,0.0,0.0,115117348299.88661,83277238890.62175,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,775136529.4434745,4000000
19,Alto Alegre - Unidade Santo Inácio,671878346.8742664,0.0,0.0,115117348299.88661,83277238890.62175,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,775136529.4434745,4000000
20,Alto Taquari,650797744.0,0.0,0.0,115117348299.88661,83277238890.62175,361128.0,361128.0,0.0,0.0,0.0,0.0,0.0,0.0,2936000.0,0.0,212800.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,243292112.64,4000000
21,Alvorada,335939173.4371332,0.0,0.0,115117348299.88661,83277238890.62175,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,387568264.72173727,2000000
22,Americana,162699436.0,0.0,0.0,115117348299.88661,83277238890.62175,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,60823028.16,1000000
23,Andrade,503908760.15569973,0.0,0.0,115117348299.88661,83277238890.62175,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,581352397.0826056,3000000
24,Angélica,671878346.8742664,0.0,0.0,115117348299.88661,83277238890.62175,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,775136529.4434745,4000000
25,Anicuns,488098308.0,0.0,0.0,115117348299.88661,83277238890.62175,270846.0,270846.0,0.0,0.0,0.0,0.0,0.0,0.0,2202000.0,0.0,159600.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,182469084.48000002,3000000
26,Aroeira,167969586.71856663,0.0,0.0,115117348299.88661,83277238890.62175,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,193784132.3608686,1000000
27,Atena Tecnologias - Fazendo Bartira,167969586.71856663,0.0,0.0,115117348299.88661,83277238890.62175,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,193784132.3608686,1000000
28,Avaré,335939173.4371332,0.0,0.0,115117348299.88661,83277238890.62175,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,387568264.72173727,2000000
29,Bahia Etanol,162699436.0,0.0,0.0,115117348299.88661,83277238890.62175,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,60823028.16,1000000
30,Baldin Bioenergia,329673666.91952,0.0,7072194.647780031,115117348299.88661,83277238890.62175,136625.55624,0.0,0.0,0.0,0.0,0.0,136625.55624,587200.0,880800.0,72225.6,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,222423045.32635117,2000000
31,Bambuí,325398872.0,0.0,9084927.458777959,115117348299.88661,83277238890.62175,180564.0,0.0,0.0,0.0,0.0,0.0,180564.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,112561128.86122203,2000000
32,Bandeirantes,494510500.37928,0.0,0.0,115117348299.88661,83277238890.62175,204938.33435999998,204938.33435999998,0.0,0.0,0.0,0.0,0.0,880800.0,1321200.0,108338.4,159600.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,344242859.9611968,3000000
33,Barra Grande,839847933.592833,0.0,0.0,115117348299.88661,83277238890.62175,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.8595380946,50373.140461905394,445214.1037231856,266000.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,968920661.8043427,5000000
34,Barralcool,503908760.15569973,0.0,0.0,115117348299.88661,83277238890.62175,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,581352397.0826056,3000000
35,Batatais,671878346.8742664,0.0,0.0,115117348299.88661,83277238890.62175,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,775136529.4434745,4000000
36,Batatais - Unidade Lins,494510500.37928,0.0,0.0,115117348299.88661,83277238890.62175,204938.33435999998,204938.33435999998,0.0,0.0,0.0,0.0,0.0,880800.0,1321200.0,108338.4,159600.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,344242859.9611968,3000000
37,Bazan,671878346.8742664,0.0,0.0,115117348299.88661,83277238890.62175,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,775136529.4434745,4000000
38,Bela Vista,671878346.8742664,0.0,0.0,115117348299.88661,83277238890.62175,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,221829675144.33215,221829675144.33215,775136529.4434745,4000000
