,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94439192310.42108,124560684333.14911,0.0,0.0,0.0,0.0,391524162.19255805
1,Refinaria Landulpho Alves,0.0,0.0,94439192310.42108,124560684333.14911,0.0,0.0,0.0,0.0,391524162.19255805
2,Refinaria Duque de Caxias,0.0,0.0,94439192310.42108,124560684333.14911,0.0,0.0,0.0,0.0,391524162.19255805
3,Refinaria Alberto Pasqualini ,0.0,0.0,94439192310.42108,124560684333.14911,0.0,0.0,0.0,0.0,391524162.19255805
4,Refinaria Gabriel Passos,0.0,0.0,94439192310.42108,124560684333.14911,0.0,0.0,0.0,0.0,391524162.19255805
5,Refinaria Isaac Sabbá,0.0,0.0,94439192310.42108,124560684333.14911,0.0,0.0,0.0,0.0,391524162.19255805
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94439192310.42108,124560684333.14911,0.0,0.0,0.0,0.0,391524162.19255805
7,Refinaria de Paulínia ,0.0,0.0,94439192310.42108,124560684333.14911,2136282.2435,0.0,0.0,0.0,391524162.19255805
8,Refinaria Henrique Lage,0.0,0.0,94439192310.42108,124560684333.14911,0.0,0.0,0.0,0.0,391524162.19255805
