,refinery,OPEX,CAPEX,additional costs,objective,blended SAF,SAF,g,d,total logistic
0,Refinaria Clara Camarão,0.0,0.0,94447390252.5053,125649296992.72192,0.0,0.0,0.0,0.0,311058477.21589565
1,Refinaria Landulpho Alves,0.0,0.0,94447390252.5053,125649296992.72192,0.0,0.0,0.0,0.0,311058477.21589565
2,Refinaria Duque de Caxias,0.0,0.0,94447390252.5053,125649296992.72192,0.0,0.0,0.0,0.0,311058477.21589565
3,Refinaria Alberto Pasqualini ,0.0,0.0,94447390252.5053,125649296992.72192,0.0,0.0,0.0,0.0,311058477.21589565
4,Refinaria Gabriel Passos,0.0,0.0,94447390252.5053,125649296992.72192,0.0,0.0,0.0,0.0,311058477.21589565
5,Refinaria Isaac Sabbá,0.0,0.0,94447390252.5053,125649296992.72192,0.0,0.0,0.0,0.0,311058477.21589565
6,Refinaria Presidente Getúlio Vargas,0.0,0.0,94447390252.5053,125649296992.72192,0.0,0.0,0.0,0.0,311058477.21589565
7,Refinaria de Paulínia ,0.0,0.0,94447390252.5053,125649296992.72192,1709025.7948,0.0,0.0,0.0,311058477.21589565
8,Refinaria Henrique Lage,0.0,0.0,94447390252.5053,125649296992.72192,0.0,0.0,0.0,0.0,311058477.21589565
